,original_text,filtered_text,NBD_tag
33,2/3 cup blanched hazelnuts toasted and chopped,blanched hazelnuts toasted and chopped,"""12120"""
34,Chicken Breast Fillets,chicken breast fillets,"""05057"""
35,8 pieces of sourdough bread,pieces of sourdough bread,"""18029"""
36,1 cup pizza sauce,pizza sauce,"""06152"""
37,1 cup pesto,pesto,"""06626"""
38,8 slices fresh Mozzarella,fresh mozzarella,"""01026"""
39,4 large tomato slices (optional),tomato (optional),"""11529"""
40,Olive oil for drizzling,olive oil for drizzling,"""44005"""
41,Oregano,oregano,"""02027"""
42,6 large eggs beaten at room temperature,eggs beaten at room temperature,"""01123"""
43,Two 5-ounce cans tuna packed in olive oil drained and flaked into 1/4 to 1/2-inch pieces such as Flott,twoounce tuna packed in olive oil drained and flaked into toinch pieces such as flott,"""15124"""
44,1/4 cup milk at room temperature,milk at room temperature,"""01077"""
45,3 tablespoons chopped fresh flat-leaf parsley,chopped fresh flatleaf parsley,"""11297"""
46,1 tablespoon anchovy paste,anchovy paste,"""15002"""
47,1/2 teaspoon kosher salt,kosher salt,"""02047"""
48,1/2 teaspoon freshly ground black pepper,freshly ground black pepper,"""02030"""
49,1 tablespoon extra-virgin olive oil,extravirgin olive oil,"""04708"""
50,1 tablespoon unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
51,2 Roma tomatoes seeded and chopped,roma tomatoes seeded and chopped,"""11529"""
52,1 cup (8 ounces) mascarpone at room temperature,( ounces) mascarpone at room temperature,"""01017"""
53,1/2 teaspoon kosher salt,kosher salt,"""02047"""
55,1 1/4 cups all purpose flour,all purpose flour,"""20581"""
56,1/2 tablespoon sugar,sugar,"""19335"""
57,1/2 teaspoon salt,salt,"""02047"""
58,1/2 cup (1 stick) chilled unsalted butter cut into 1/2-inch cubes,( stick) chilled unsalted butter cut intoinch cubes,"""01145"""
59,3 tablespoons (or more) ice water,(or more) ice water,"""14411"""
60,2/3 cup finely grated fresh Parmesan,finely grated fresh parmesan,"""01033"""
61,3/4 pound ground turkey or lean ground beef,ground turkey or lean ground beef,"""05665"""
62,1/2 small onion finely chopped,onion finely chopped,"""11282"""
63,1/2 cup fresh bread crumbs,fresh bread crumbs,"""18079"""
64,1/2 cup cooked squeezed dry and chopped spinach,cooked squeezed dry and chopped spinach,"""11457"""
65,1 large egg lightly beaten,egg lightly beaten,"""01123"""
66,Coarse salt,coarse salt,"""02047"""
67,2 tablespoons extra-virgin olive oil,extravirgin olive oil,"""04708"""
68,8 ounces star-shape pasta (or any small pasta such as orzo),starshape pasta (or any pasta such as orzo),"""20120"""
69,4 cups chicken stock or broth,chicken stock or broth,"""06172"""
70,1 1/2 cups brown raisins,brown raisins,"""09299"""
71,2 1/4 cups sifted all purpose flour,sifted all purpose flour,"""20581"""
72,1 teaspoon baking powder,baking powder,"""18371"""
73,1/2 teaspoon salt,salt,"""02047"""
74,1 1/4 cups (2 1/2 sticks) unsalted butter room temperature,( sticks) unsalted butter room temperature,"""01145"""
75,1 2/3 cups sugar,sugar,"""19335"""
76,5 large eggs,eggs,"""01123"""
77,7 tablespoons dark rum,dark rum,"""14050"""
78,2 teaspoons vanilla extract,vanilla extract,"""02050"""
79,1/2 cup powdered sugar,powdered sugar,"""19336"""
80,2 teaspoons whipping cream,whipping cream,"""01053"""
81,1/4 pound chorizo sausage skinned and finely chopped,chorizo sausage skinned and finely chopped,"""07019"""
82,Bunuelo Dough,bunuelo dough,"""18633"""
83,Oil for frying,oil for frying,"""04582"""
84,1 cup water,water,"""14411"""
85,3 tablespoons butter,butter,"""01001"""
86,3/8 teaspoon salt,salt,"""02047"""
87,1 cup flour,flour,"""20581"""
88,2 eggs,eggs,"""01123"""
89,4 tablespoons (1/2 stick) butter softened,( stick) butter softened,"""01001"""
90,1/4 cup honey,honey,"""19296"""
92,1 1/2 cups all-purpose flour,allpurpose flour,"""20581"""
93,1/2 cup whole-wheat flour,wholewheat flour,"""20080"""
94,1/2 teaspoon baking soda,baking soda,"""18372"""
95,1/2 teaspoon salt,salt,"""02047"""
96,1/4 teaspoon ground cinnamon,ground cinnamon,"""02010"""
97,2 cups buttermilk,buttermilk,"""01230"""
98,2 eggs,eggs,"""01123"""
99,4 tablespoons (1/2 stick) butter melted plus more for cooking pancakes,( stick) butter melted plus more for cooking pancakes,"""01001"""
100,1 tablespoon honey,honey,"""19296"""
101,7 tablespoons olive oil divided,olive oil divided,"""44005"""
102,3 pounds onions thinly sliced,onions thinly sliced,"""11282"""
103,1 pound pitted prunes halved,pitted prunes halved,"""09291"""
104,12 ounces pitted dates halved,pitted dates halved,"""09421"""
105,10 ounces dried apricot halves (about 2 cups),dried apricot halves (about cups),"""09032"""
106,3 tablespoons sugar,sugar,"""19335"""
107,1 teaspoon ground cinnamon,ground cinnamon,"""02010"""
108,2 (4- to 4 1/2-pound) chickens rinsed patted dry,( topound) chickens rinsed patted dry,"""05011"""
109,1 teaspoon turmeric divided,turmeric divided,"""02043"""
110,1 1/2 cups (or more) water,(or more) water,"""14411"""
111,1/2 cup blanched slivered almonds toasted,blanched slivered almonds toasted,"""12061"""
112,8 tablespoons unsalted butter,unsalted butter,"""01145"""
113,1 cup sugar,sugar,"""19335"""
114,1/2 vanilla bean split lengthwise,vanilla bean split lengthwise,"""02050"""
115,1 cinnamon stick 2 to 3 inches,cinnamon to,"""02010"""
116,1 tablespoon vanilla brandy or plain brandy,vanilla brandy or plain brandy,"""14037"""
117,1 tablespoon lemon juice,lemon juice,"""09152"""
119,6 peaches halved and pitted,peaches halved and pitted,"""09236"""
120,2 sheets puff pastry,sheets puff pastry,"""18337"""
123,8 ounces/250g raspberries,ouncesg raspberries,"""09302"""
124,8 ounces/250g strawberries,ouncesg strawberries,"""09316"""
125,1/2 cup/100g sugar,cupg sugar,"""19335"""
126,Juice of 1/2 lemon,juice of lemon,"""09152"""
127,1 pound/500g mixed soft fruits and berries such as strawberries raspberries blackberries blueberries,poundg mixed soft fruits and berries such as strawberries raspberries blackberries blueberries,"""09042"""
128,A handful fresh mint leaves chopped,a fresh mint leaves chopped,"""02064"""
130,1 bottle (750ml) cold Champagne,bottle (ml) cold champagne,"""14132"""
131,1 lime wedge,lime wedge,"	""09159"""
132,Coarse salt for coating the rim of the glass,coarse salt for coating the rim of the glass,"""02047"""
133,1 jigger (1 1/2 ounces) tequila,jigger ( ounces) tequila,"""14037"""
134,3 tablespoons fresh pink grapefruit juice (preferably ruby red),fresh pink grapefruit juice (preferably ruby red),"""09404"""
135,1 pony (1 ounce) orange-flavored liqueur,pony ( ounce) orangeflavored liqueur,"""14037"""
136,1/2 teaspoon superfine sugar if desired,superfine sugar if desired,"""19335"""
138,1/4 cup extra-virgin olive oil plus additional for brushing,extravirgin olive oil plus additional for brushing,"""04708"""
139,2 garlic cloves peeled crushed,garlic cloves peeled crushed,"""11215"""
140,2 pounds ripe plum tomatoes (preferably San Marzano-style) coarsely chopped or one 28-ounce can San Marzano tomatoes in juice with basil leaves,ripe plum tomatoes (preferably san marzanostyle) coarsely chopped or oneounce san marzano tomatoes in juice with basil leaves,"""11529"""
142,1/2 teaspoon dried crushed red pepper,dried crushed red pepper,"""02031"""
143,Coarse kosher salt,coarse kosher salt,"""02047"""
144,6 10- to 11-ounce New York steaks (preferably prime; 1 1/4 inches thick),toounce new york steaks (preferably prime; thick),"""23607"""
145,6 5x3x1/2-inch slices pain rustique ciabatta or other rustic countrystyle bread,xxinch pain rustique ciabatta or other rustic countrystyle bread,"""18967"""
146,2 (6-ounce) cans chunk light tuna in water drained well,(ounce) chunk light tuna in water drained well,"""15119"""
147,1/4 cup finely diced red onion,finely diced red onion,"""11282"""
148,1/4 cup chopped fresh parsley leaves,chopped fresh parsley leaves,"""11297"""
149,1/4 cup chopped calamata olives,chopped calamata olives,"""09193"""
150,3 tablespoons olive oil,olive oil,"""44005"""
152,2 tablespoons freshly squeezed lemon juice,freshly squeezed lemon juice,"""09152"""
153,Salt,salt,"""02047"""
154,Freshly ground black pepper,freshly ground black pepper,"""02030"""
155,6 cups pre-washed mixed greens (about 3 ounces),prewashed mixed greens (about ounces),"""11253"""
156,4 whole-grain wrap breads (about 2 ounces each),wholegrain wrap breads (about each),"""18616"""
157,2 large tomatoes sliced,tomatoes sliced,"""11529"""
158,4 cups good quality chicken stock,good quality chicken stock,"""06172"""
159,1/2 cup finely chopped carrots,finely chopped carrots,"""11124"""
160,1/2 cup finely chopped celery,finely chopped celery,"""11143"""
161,1/2 cup finely chopped onion,finely chopped onion,"""11282"""
162,3 large eggs,eggs,"""01123"""
163,1 teaspoon all-purpose flour,allpurpose flour,"""20581"""
164,2 teaspoons olive oil plus more for crepes,olive oil plus more for crepes,"""44005"""
165,3 mushrooms sliced,mushrooms sliced,"""11260"""
166,3 leaves romaine lettuce shredded,leaves romaine lettuce shredded,"""11251"""
167,2 1/2 cups cake flour,cake flour,"""20084"""
168,1 1/2 teaspoons baking soda,baking soda,"""18372"""
169,1 teaspoon salt,salt,"""02047"""
170,1 1/2 sticks unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
171,2 cups granulated sugar,granulated sugar,"""19335"""
172,3 1/2 ounces dark chocolate melted and cooled,dark chocolate melted and cooled,"""19904"""
173,1 teaspoon vanilla extract,vanilla extract,"""02050"""
174,2 eggs,eggs,"""01123"""
175,1 1/2 cups cold water,cold water,"""14411"""
176,Raspberry liqueur such as Chambord for drizzling,raspberry liqueur such as chambord for drizzling,"""14037"""
177,Nonstick cooking spray,nonstick cooking spray,"""04679"""
179,Dark chocolate shavings for decoration,dark chocolate shavings for decoration,"""19120"""
180,3 cups powdered sugar,powdered sugar,"""19336"""
181,7 tablespoons hot water,hot water,"""14411"""
182,4 ounces dark chocolate melted and cooled,dark chocolate melted and cooled,"""19904"""
183,2 teaspoons vanilla extract,vanilla extract,"""02050"""
184,1/2 stick unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
185,1/4 cup semisweet dark chocolate finely chopped,semisweet dark chocolate finely chopped,"""19902"
186,4 medium zucchini (about 1/2 pound each),zucchini (about each),"""11477"""
187,Nonstick cooking spray for spraying the parchment,nonstick cooking spray for spraying the parchment,"""04679"""
188,2/3 cup grated Parmesan cheese (about 2 ounces),grated parmesan cheese (about ounces),"""01033"""
189,1/2 cup thinly sliced scallions,thinly sliced scallions,"""11291"""
190,1 teaspoon chili powder,chili powder,"""02009"""
191,1 teaspoon ground cumin,ground cumin,"""02014"""
192,1/2 teaspoon garlic powder,garlic powder,"""02020"""
193,1/2 teaspoon kosher salt,kosher salt,"""02047"""
194,2 eggs,eggs,"""01123"""
195,3/4 cup quartered cherry tomatoes,quartered cherry tomatoes,"""11529"""
196,2 teaspoons finely chopped fresh basil leaves,finely chopped fresh basil leaves,"""02044"""
197,2 teaspoons finely chopped fresh mint leaves,finely chopped fresh mint leaves,"""02064"""
198,1/4 teaspoon kosher salt,kosher salt,"""02047"""
199,1/2 medium zucchini finely chopped,zucchini finely chopped,"""11477"""
200,Juice of 1/2 lime,juice of lime,"""09160"""
201,1 tablespoon olive oil,olive oil,"""44005"""
202,1/2 pound ground beef,ground beef,"""23572"""
203,1 shallot finely chopped,shallot finely chopped,"""11677"""
204,1 serrano chile seeds and ribs removed finely chopped (about 2 teaspoons),serrano chile seeds and removed finely chopped (about teaspoons),"""11977"""
205,1 teaspoon kosher salt,kosher salt,"""02047"""
206,1 to 2 ears corn husked and kernels removed (about 1 1/2 cups kernels),to ears corn husked and kernels removed (about kernels),"""11167"""
207,1/2 teaspoon ancho chile powder,ancho chile powder,"""02009"""
208,1/2 teaspoon ground cumin,ground cumin,"""02014"""
209,One 15-ounce can refried beans warmed,oneounce refried beans warmed,"""16103"""
210,1/4 cup crumbled feta cheese,crumbled feta cheese,"""01019"""
211,1 baked 13 by 9 by 2-inch cake,baked by byinch cake,"""18146"""
212,6 cups blue frosting,blue frosting,"""19230"""
213,2 cups orange-yellow frosting,orangeyellow frosting,"""19230"""
214,Necco wafers,necco wafers,"""18213"""
215,1 mint patty,mint patty,"""19091"""
217,1/3 cup soy sauce,soy sauce,"""16124"""
218,2 tablespoons mirin or medium dry Sherry,mirin or dry sherry,"""02068"""
219,2 1/2 tablespoons cider vinegar,cider vinegar,"""02048"""
220,2 tablespoons sugar,sugar,"""19335"""
221,1 1/2 tablespoons peeled chopped fresh gingerroot,peeled chopped fresh gingerroot,"""11216"""
222,2 (1/2-thick) salmon steaks,(thick) salmon steaks,"""15238"""
223,3 cups all-purpose flour spooned and leveled plus more for dusting,allpurpose flour spooned and leveled plus more for dusting,"""20581"""
224,2 teaspoons baking powder,baking powder,"""18371"""
225,1 teaspoon salt,salt,"""02047"""
226,1 cup (2 sticks) unsalted butter,( sticks) unsalted butter,"""01145"""
227,1 cup granulated sugar,granulated sugar,"""19335"""
228,3 large eggs 2 lightly beaten and 1 whole,eggs lightly beaten and whole,"""01123"""
229,1 teaspoon vanilla,vanilla,"""02050"""
231,1/4 cup yellow sanding sugar,yellow sanding sugar,"""19335"""
232,8 tablespoons (1 stick) unsalted butter softened,( stick) unsalted butter softened,"""01145"""
233,1 cup plus 6 tablespoons confectioners sugar sifted,plus confectioners sugar sifted,"""19335"""
234,1 egg,egg,"""01123"""
235,1 teaspoon salt,salt,"""02047"""
236,1 1/4 cups all purpose flour,all purpose flour,"""20581"""
237,1/2 cup ground almonds,ground almonds,"""12061"""
238,4 cups coconut milk or 4 Thai coconuts,coconut milk or thai coconuts,"""12117"""
239,1 cup dates pitted,dates pitted,"""09421"""
240,1 cup filtered ice,filtered ice,"""14411"""
241,4 tablespoons almond butter,almond butter,"	""12695"""
242,4 tablespoons maca powder,maca powder,"""19070"""
243,3 teaspoons ground vanilla powder,ground vanilla powder,"""02050"""
244,2 teaspoons cistanche herb,cistanche herb,"""14188"""
245,2 teaspoons mesquite powder,mesquite powder,"""11157"""
246,1 teaspoon ground cinnamon,ground cinnamon,"""02010"""
247,1/2 teaspoon ground cloves,ground cloves,"""02011"""
248,Few pinches sea salt,few sea salt,"""02047"""
252,1 yellow twisted licorice,yellow twisted licorice,"""19112"""
254,10 jelly beans (5 peach 5 pink),jelly beans ( peach pink),"""19108"""
255,2 2/3 cups sugar,sugar,"""19335"""
256,1 cup (2 sticks) unsalted butter cut into 1-inch pieces,( sticks) unsalted butter cut intoinch pieces,"""01145"""
257,2 large eggs,eggs,"""01123"""
258,2 large egg yolks,egg yolks,"""01125"""
259,2/3 cup milk,milk,"""01077"""
260,2/3 cup water,water,"""14411"""
261,2 1/2 teaspoons pure vanilla extract,pure vanilla extract,"""02050"""
262,2 2/3 cups all-purpose flour,allpurpose flour,"""20581"""
263,1 1/3 cups cake flour,cake flour,"""20084"""
264,4 teaspoons baking powder,baking powder,"""18371"""
265,1/2 teaspoon fine salt,fine salt,"""02047"""
266,Three 1 pound boxes confectioners sugar,three boxes confectioners sugar,"""19335"""
267,1 cup water,water,"""14411"""
268,5 tablespoons light corn syrup,light corn syrup,"""19350"""
269,1 tablespoon pure vanilla extract,pure vanilla extract,"""02050"""
271,2 cups sweetened shredded coconut,sweetened shredded coconut,"""12179"""
274,3/4 pound fettucine,fettucine,"""20120"""
275,12 ounces cooked chicken or smoked chicken,cooked chicken or smoked chicken,"""05011"""
276,4 scallions thinly sliced,scallions thinly sliced,"""11291"""
277,2 to 3 tablespoons Oriental sesame oil,to oriental sesame oil,"""04058"""
278,2 to 3 tablespoons rice vinegar,to rice vinegar,"""02068"""
279,2 teaspoons Chinese chili paste with garlic,chinese chili paste with garlic,"""06962"""
280,1/4 cup chunky peanut butter,chunky peanut butter,"""16097"""
281,Salt,salt,"""02047"""
282,Crushed red pepper,crushed red pepper,"""11821"""
283,Spinach leaves as a bed for salad,spinach leaves as a bed for salad,"""11457"""
284,2 Kirby cucumbers peeled seeded and grated for garnish,kirby cucumbers peeled seeded and grated for,"""11205"""
286,1/2 cup minced red onion,minced red onion,"""11282"""
287,2 tablespoons olive oil,olive oil,"""44005"""
288,1 garlic clove minced,garlic clove minced,"""11215"""
289,1 small red bell pepper cut into 1/4-inch diced,red bell pepper cut intoinch diced,"""11821"""
290,1/2 teaspoon chili powder,chili powder,"""02009"""
291,1/4 teaspoon ground cumin,ground cumin,"""02014"""
292,1/8 teaspoon cayenne,cayenne,"""02031"""
293,3/4 pound ground turkey,ground turkey,"""05665"""
294,1 14-ounce can plum tomatoes including-the juice,plum tomatoes includingthe juice,"""11531"""
295,1 pinch of dried hot red pepper,of dried hot red pepper,"""02031"""
297,1/4 pound rigatoni,rigatoni,"""20120"""
298,coarsely grated Monterey Jack for sprinkling the pasta,coarsely grated monterey jack for sprinkling the pasta,"""01025"""
299,1/3 cup sugar,sugar,"""19335"""
300,2 tablespoons water,water,"""14411"""
301,3 tablespoons butter,butter,"""01001"""
302,2 pounds Granny Smith apples peeled cored and coarsely chopped,granny smith apples peeled cored and coarsely chopped,"""09502"""
303,1/2 cup brandy,brandy,"""14037"""
304,6 eggs,eggs,"""01123"""
305,1/2 cup sugar,sugar,"""19335"""
306,1 teaspoon cinnamon,cinnamon,"""02010"""
307,1 cup half-and-half,halfandhalf,"""01049"""
308,2 1/4 pounds ripe tomatoes (about 7 medium),ripe tomatoes (about medium),"""11529"""
309,2 tablespoons extra virgin olive oil,extra virgin olive oil,"""04708"""
310,3 cloves garlic peeled and finely chopped,cloves garlic peeled and finely chopped,"""11215"""
311,2 large shallots peeled and finely chopped,shallots peeled and finely chopped,"""11677"""
312,1 branch fresh thyme,branch fresh thyme,"""02049"""
313,1/4 teaspoon chopped fresh rosemary,chopped fresh rosemary,"""02063"""
314,1 tablespoon tomato paste,tomato paste,"""11546"""
315,1 teaspoon fine sea salt,fine sea salt,"""02047"""
316,1/4 teaspoon freshly ground white pepper,freshly ground white pepper,"""02032"""
317,5 sheets frozen phyllo dough defrosted,sheets frozen phyllo dough defrosted,"""18338"""
318,1/3 cup unsalted butter melted,unsalted butter melted,"""01145"""
319,1 tablespoon unsalted butter melted,unsalted butter melted,"""01145"""
320,54 uncooked medium shrimp (about 3 pounds) peeled sliced in half horizontally and deveined,uncooked shrimp (about pounds) peeled sliced in half horizontally and deveined,"""15270"""
321,Fine sea salt to taste,fine sea salt to taste,"""02047"""
322,Freshly ground white pepper to taste,freshly ground white pepper to taste,"""02032"""
323,Cayenne to taste,cayenne to taste,"""02031"""
324,36 long saffron threads,long saffron threads,"""02037"""
325,1/4 teaspoon fresh thyme leaves,fresh thyme leaves,"""02049"""
326,3 tablespoons extravirgin olive oil,extravirgin olive oil,"""44005"""
327,6 fresh basil leaves cut across into thin strips,fresh basil leaves cut across into thin strips,"""02044"""
328,Butter or nonstick vegetable oil spray (for pan),butter or nonstick vegetable oil spray (for pan),"""04679"""
329,1 batch Our Favorite Pie Dough divided into 2 discs chilled,batch our favorite pie dough divided into discs chilled,"""18946"""
331,3 cups mixed berries preferably a mix of blueberries and hulled quartered strawberries,mixed berries preferably a mix of blueberries and hulled quartered strawberries,"""09050"""
332,1 cup blueberry preserves,blueberry preserves,"""09352"""
333,3 tablespoons cornstarch,cornstarch,"""20027"""
334,2 teaspoons fresh lemon juice,fresh lemon juice,"""09152"""
335,1/8 teaspoon kosher salt,kosher salt,"""02047"""
336,1 large egg (optional),egg (optional),"""01123"""
337,2 teaspoons milk (optional),milk (optional),"""01077"""
338,1 teaspoon coarse sugar (optional),coarse sugar (optional),"""19335"""
340,2 1/2 cups lukewarm water,lukewarm water,"""14411"""
341,1 teaspoon dry yeast,dry yeast,"""18375"""
342,6-7 cups unbleached all purpose flour,unbleached all purpose flour,"""20581"""
343,2 tablespoons olive oil plus extra for oiling surfaces,olive oil plus extra for oiling surfaces,"""44005"""
344,2 teaspoons salt,salt,"""02047"""
345,1 1/2 cups pitted and chopped black olives (Nyons or Kalamata),pitted and chopped black olives (nyons or kalamata),"""09194"""
346,1/4 cup buckwheat flour,buckwheat flour,"""20011"""
347,1 cup sugar,sugar,"""19335"""
348,1/4 cup water,water,"""14411"""
349,2 1/2 cups whole milk,whole milk,"""01077"""
350,1 (3-inch) cinnamon stick,(inch) cinnamon,"""02010"""
351,1 (14-ounces) can sweetened condensed milk,(ounces) sweetened condensed milk,"""01095"""
352,8 ounces cream cheese softened,cream cheese softened,"""01017"""
353,5 large eggs,eggs,"""01123"""
354,1 teaspoon pure vanilla extract,pure vanilla extract,"""02050"""
355,1/8 teaspoon salt,salt,"""02047"""
357,3 3/4 pounds pumpkin or butternut squash,pumpkin or butternut squash,"""11422"""
358,1 acorn squash (about 1 3/4 pounds),acorn squash (about pounds),"""11482"""
359,6 tablespoons (3/4 stick) unsalted butter,( stick) unsalted butter,"""01145"""
360,1/2 teaspoon kosher salt,kosher salt,"""02047"""
361,1/8 teaspoon freshly ground white pepper,freshly ground white pepper,"""02032"""
362,1/4 teaspoon ground nutmeg,ground nutmeg,"""02025"""
363,1 white onion (about 4 ounces) peeled trimmed and finely diced,white onion (about ounces) peeled trimmed and finely diced,"""11282"""
364,1/4 teaspoon ground ginger,ground ginger,"""02021"""
365,1/8 teaspoon ground cardamom,ground cardamom,"""02006"""
366,4 cups chicken stock or vegetable stock,chicken stock or vegetable stock,"""06172"""
367,1 cup heavy cream,heavy cream,"""01053"""
368,1 sprig fresh rosemary,fresh rosemary,"""02063"""
369,1 recipe cranberry relish recipe follows,cranberry relish follows,"""09078"""
371,1/2 recipe spiced caramelized pecans recipe follows,spiced caramelized pecans follows,"""12142"""
372,4 tablespoons pumpkin seed oil,pumpkin seed oil,"""04517"""
373,2 cups fresh cranberries,fresh cranberries,"""09078"""
374,1/2 cup sugar,sugar,"""19335"""
375,1/2 cup verjus or 3 tablespoons lemon juice,verjus or lemon juice,"""14037"""
376,3 cups peanut oil,peanut oil,"""44005"""
377,2 cups pecan halves,pecan halves,"""12142"""
378,1 teaspoon kosher salt,kosher salt,"""02047"""
379,1/2 teaspoon cayenne pepper,cayenne pepper,"""02031"""
380,1 cup sifted confectioners sugar,sifted confectioners sugar,"""19335"""
381,2 cups heavy cream,heavy cream,"""01053"""
382,1 tablespoon black cardamom seeds,black cardamom seeds,"""02006"""
383,1 cup strong brewed coffee,strong brewed coffee,"""14210"""
384,2 cups nonfat vanilla frozen yogurt,nonfat vanilla frozen yogurt,"""19293"""
385,2 fresh bananas frozen and sliced,fresh bananas frozen and sliced,"""09040"""
386,1 tablespoon hazelnut flavored or almond flavored syrup,hazelnut flavored or almond flavored syrup,"""04532"""
387,1-ounce vanilla-flavored vodka (recommended: Skyy Vanilla Vodka),vanillaflavored vodka (recommended: skyy vanilla vodka),"""14037"""
388,1-ounce Tuaca liqueur,tuaca liqueur,"""14037"""
389,Splash pineapple juice,splash pineapple juice,"""09409"""
390,Splash lime juice (recommended: Finest Call Lime Juice),splash lime juice (recommended: finest call lime juice),"""09160"""
391,1 cup fish stock,fish stock,"""06174"""
392,1/4 cup dry sherry,dry sherry,"""14536"""
393,1/4 cup lowsodium soy sauce,lowsodium soy sauce,"""16424"""
394,3 stalks fresh lemongrass crushed,stalks fresh lemongrass crushed,"""06625"""
395,2 tablespoons peeled  finely chopped fresh ginger,peeled finely chopped fresh ginger,"""11216"""
396,1 chili pepper or 1/4 teaspoon crushed red pepper,chili pepper or crushed red pepper,"""02009"""
397,1/4 cup chopped scallions,chopped scallions,"""11291"""
398,12 large fresh shiitake mushroom caps,fresh shiitake mushroom caps,"""11238"""
399,1 small bok choy washed and sliced into wedges,bok choy washed and sliced into wedges,"""11116"""
400,1/4 cup unsweetened coconut milk,unsweetened coconut milk,"""12117"""
401,1 teaspoon Thai red curry paste,thai red curry paste,"""06624"""
402,1 1/2 pound whole sea bass scales removed head on and gutted,whole sea bass scales removed head on and gutted,"""15091"""
403,1 recipe Saffron Basmati Rice,saffron basmati rice,"""20037"""
404,1/4 teaspoon fennel seeds,fennel seeds,"""02018"""
405,a 6-inch pita loaf (preferably pocketless),ainch pita loaf (preferably pocketless),"""18041"""
406,1 teaspoon extra-virgin olive oil,extravirgin olive oil,"""04708"""
407,1/8 teaspoon coarse salt,coarse salt,"""02047"""
408,1 large egg yolk (from a pasteurized egg),egg yolk (from a pasteurized egg),"""01125"""
409,1 tablespoon white wine vinegar or champagne vinegar,white wine vinegar or champagne vinegar,"""02053"""
410,Kosher salt,kosher salt,"""02047"""
411,1/2 cup vegetable or grapeseed oil,vegetable or grapeseed oil,"""04513"""
412,1/2 cup extra-virgin olive oil,extravirgin olive oil,"""04708"""
413,1 pound uncooked lasagna,uncooked lasagna,"""32010"""
414,2 pounds ricotta,ricotta,"""01036"""
415,6 eggs,eggs,"""01123"""
416,Sunday Ragu recipe above or other tomato sauce,sunday ragu above or other tomato sauce,"""06931"""
417,1 pound grated mozzarella,grated mozzarella,"""01026"""
418,1 cup grated Parmesan,grated parmesan,"""01033"""
419,2 cups white wine vinegar,white wine vinegar,"""02053"""
420,1 yellow onion quartered,yellow onion quartered,"""11294"""
421,1 head of garlic halved crosswise,head of garlic halved crosswise,"""11215"""
422,2 tablespoons table salt,table salt,"""02047"""
423,10 1/2 cups water,water,"""14411"""
424,4 1/2 pounds (4 racks) American-style pork ribs,( racks) americanstyle pork,"""10088"""
426,Corn and Jalapeño Chile Flatbreads to serve optional,corn and jalapeño chile flatbreads to serve optional,"""25028"""
427,1 (7-ounce) can chipotle chiles in adobo sauce,(ounce) chipotle chiles in adobo sauce,"""11962"""
428,2 tablespoons onion flakes,onion flakes,"""11282"""
429,1 tablespoon Tabasco sauce,tabasco sauce,"""06169"""
430,1 tablespoon Dutch cocoa powder,dutch cocoa powder,"""19165"""
431,1/2 cup maple syrup,maple syrup,"""19353"""
