,index,original_text,filtered_text,NBD_tag
103,106,3 tablespoons sugar,sugar,"""19335"""
104,107,1 teaspoon ground cinnamon,ground cinnamon,"""02010"""
105,108,2 (4- to 4 1/2-pound) chickens rinsed patted dry,( topound) chickens rinsed patted dry,"""05011"""
106,109,1 teaspoon turmeric divided,turmeric divided,"""02043"""
107,110,1 1/2 cups (or more) water,(or more) water,"""14411"""
108,111,1/2 cup blanched slivered almonds toasted,blanched slivered almonds toasted,"""12061"""
109,112,8 tablespoons unsalted butter,unsalted butter,"""01145"""
110,113,1 cup sugar,sugar,"""19335"""
111,114,1/2 vanilla bean split lengthwise,vanilla bean split lengthwise,"""02050"""
112,115,1 cinnamon stick 2 to 3 inches,cinnamon to,"""02010"""
113,116,1 tablespoon vanilla brandy or plain brandy,vanilla brandy or plain brandy,"""14037"""
114,117,1 tablespoon lemon juice,lemon juice,"""09152"""
115,119,6 peaches halved and pitted,peaches halved and pitted,"""09236"""
116,120,2 sheets puff pastry,sheets puff pastry,"""18337"""
117,123,8 ounces/250g raspberries,ouncesg raspberries,"""09302"""
118,124,8 ounces/250g strawberries,ouncesg strawberries,"""09316"""
119,125,1/2 cup/100g sugar,cupg sugar,"""19335"""
120,126,Juice of 1/2 lemon,juice of lemon,"""09152"""
121,127,1 pound/500g mixed soft fruits and berries such as strawberries raspberries blackberries blueberries,poundg mixed soft fruits and berries such as strawberries raspberries blackberries blueberries,"""09042"""
122,128,A handful fresh mint leaves chopped,a fresh mint leaves chopped,"""02064"""
123,130,1 bottle (750ml) cold Champagne,bottle (ml) cold champagne,"""14132"""
124,131,1 lime wedge,lime wedge,"	""09159"""
125,132,Coarse salt for coating the rim of the glass,coarse salt for coating the rim of the glass,"""02047"""
126,133,1 jigger (1 1/2 ounces) tequila,jigger ( ounces) tequila,"""14037"""
127,134,3 tablespoons fresh pink grapefruit juice (preferably ruby red),fresh pink grapefruit juice (preferably ruby red),"""09404"""
128,135,1 pony (1 ounce) orange-flavored liqueur,pony ( ounce) orangeflavored liqueur,"""14037"""
129,136,1/2 teaspoon superfine sugar if desired,superfine sugar if desired,"""19335"""
130,138,1/4 cup extra-virgin olive oil plus additional for brushing,extravirgin olive oil plus additional for brushing,"""04708"""
131,139,2 garlic cloves peeled crushed,garlic cloves peeled crushed,"""11215"""
132,140,2 pounds ripe plum tomatoes (preferably San Marzano-style) coarsely chopped or one 28-ounce can San Marzano tomatoes in juice with basil leaves,ripe plum tomatoes (preferably san marzanostyle) coarsely chopped or oneounce san marzano tomatoes in juice with basil leaves,"""11529"""
133,142,1/2 teaspoon dried crushed red pepper,dried crushed red pepper,"""02031"""
134,143,Coarse kosher salt,coarse kosher salt,"""02047"""
135,144,6 10- to 11-ounce New York steaks (preferably prime; 1 1/4 inches thick),toounce new york steaks (preferably prime; thick),"""23607"""
136,145,6 5x3x1/2-inch slices pain rustique ciabatta or other rustic countrystyle bread,xxinch pain rustique ciabatta or other rustic countrystyle bread,"""18967"""
137,146,2 (6-ounce) cans chunk light tuna in water drained well,(ounce) chunk light tuna in water drained well,"""15119"""
138,147,1/4 cup finely diced red onion,finely diced red onion,"""11282"""
139,148,1/4 cup chopped fresh parsley leaves,chopped fresh parsley leaves,"""11297"""
140,149,1/4 cup chopped calamata olives,chopped calamata olives,"""09193"""
141,150,3 tablespoons olive oil,olive oil,"""44005"""
142,152,2 tablespoons freshly squeezed lemon juice,freshly squeezed lemon juice,"""09152"""
143,153,Salt,salt,"""02047"""
144,154,Freshly ground black pepper,freshly ground black pepper,"""02030"""
145,155,6 cups pre-washed mixed greens (about 3 ounces),prewashed mixed greens (about ounces),"""11253"""
146,156,4 whole-grain wrap breads (about 2 ounces each),wholegrain wrap breads (about each),"""18616"""
147,157,2 large tomatoes sliced,tomatoes sliced,"""11529"""
148,158,4 cups good quality chicken stock,good quality chicken stock,"""06172"""
149,159,1/2 cup finely chopped carrots,finely chopped carrots,"""11124"""
150,160,1/2 cup finely chopped celery,finely chopped celery,"""11143"""
151,161,1/2 cup finely chopped onion,finely chopped onion,"""11282"""
152,162,3 large eggs,eggs,"""01123"""
153,163,1 teaspoon all-purpose flour,allpurpose flour,"""20581"""
154,164,2 teaspoons olive oil plus more for crepes,olive oil plus more for crepes,"""44005"""
155,165,3 mushrooms sliced,mushrooms sliced,"""11260"""
156,166,3 leaves romaine lettuce shredded,leaves romaine lettuce shredded,"""11251"""
157,167,2 1/2 cups cake flour,cake flour,"""20084"""
158,168,1 1/2 teaspoons baking soda,baking soda,"""18372"""
159,169,1 teaspoon salt,salt,"""02047"""
160,170,1 1/2 sticks unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
161,171,2 cups granulated sugar,granulated sugar,"""19335"""
162,172,3 1/2 ounces dark chocolate melted and cooled,dark chocolate melted and cooled,"""19904"""
163,173,1 teaspoon vanilla extract,vanilla extract,"""02050"""
164,174,2 eggs,eggs,"""01123"""
165,175,1 1/2 cups cold water,cold water,"""14411"""
166,176,Raspberry liqueur such as Chambord for drizzling,raspberry liqueur such as chambord for drizzling,"""14037"""
167,177,Nonstick cooking spray,nonstick cooking spray,"""04679"""
168,179,Dark chocolate shavings for decoration,dark chocolate shavings for decoration,"""19120"""
169,180,3 cups powdered sugar,powdered sugar,"""19336"""
170,181,7 tablespoons hot water,hot water,"""14411"""
171,182,4 ounces dark chocolate melted and cooled,dark chocolate melted and cooled,"""19904"""
172,183,2 teaspoons vanilla extract,vanilla extract,"""02050"""
173,184,1/2 stick unsalted butter at room temperature,unsalted butter at room temperature,"""01145"""
174,185,1/4 cup semisweet dark chocolate finely chopped,semisweet dark chocolate finely chopped,"""19902"
175,186,4 medium zucchini (about 1/2 pound each),zucchini (about each),"""11477"""
176,187,Nonstick cooking spray for spraying the parchment,nonstick cooking spray for spraying the parchment,"""04679"""
177,188,2/3 cup grated Parmesan cheese (about 2 ounces),grated parmesan cheese (about ounces),"""01033"""
178,189,1/2 cup thinly sliced scallions,thinly sliced scallions,"""11291"""
179,190,1 teaspoon chili powder,chili powder,"""02009"""
180,191,1 teaspoon ground cumin,ground cumin,"""02014"""
181,192,1/2 teaspoon garlic powder,garlic powder,"""02020"""
182,193,1/2 teaspoon kosher salt,kosher salt,"""02047"""
183,194,2 eggs,eggs,"""01123"""
184,195,3/4 cup quartered cherry tomatoes,quartered cherry tomatoes,"""11529"""
185,196,2 teaspoons finely chopped fresh basil leaves,finely chopped fresh basil leaves,"""02044"""
186,197,2 teaspoons finely chopped fresh mint leaves,finely chopped fresh mint leaves,"""02064"""
187,198,1/4 teaspoon kosher salt,kosher salt,"""02047"""
188,199,1/2 medium zucchini finely chopped,zucchini finely chopped,"""11477"""
189,200,Juice of 1/2 lime,juice of lime,"""09160"""
190,201,1 tablespoon olive oil,olive oil,"""44005"""
191,202,1/2 pound ground beef,ground beef,"""23572"""
192,203,1 shallot finely chopped,shallot finely chopped,"""11677"""
193,204,1 serrano chile seeds and ribs removed finely chopped (about 2 teaspoons),serrano chile seeds and removed finely chopped (about teaspoons),"""11977"""
194,205,1 teaspoon kosher salt,kosher salt,"""02047"""
195,206,1 to 2 ears corn husked and kernels removed (about 1 1/2 cups kernels),to ears corn husked and kernels removed (about kernels),"""11167"""
196,207,1/2 teaspoon ancho chile powder,ancho chile powder,"""02009"""
197,208,1/2 teaspoon ground cumin,ground cumin,"""02014"""
198,209,One 15-ounce can refried beans warmed,oneounce refried beans warmed,"""16103"""
199,210,1/4 cup crumbled feta cheese,crumbled feta cheese,"""01019"""
200,211,1 baked 13 by 9 by 2-inch cake,baked by byinch cake,"""18146"""
201,212,6 cups blue frosting,blue frosting,"""19230"""
202,213,2 cups orange-yellow frosting,orangeyellow frosting,"""19230"""
203,214,Necco wafers,necco wafers,"""18213"""
204,215,1 mint patty,mint patty,"""19091"""
205,217,1/3 cup soy sauce,soy sauce,"""16124"""
206,218,2 tablespoons mirin or medium dry Sherry,mirin or dry sherry,"""02068"""
207,219,2 1/2 tablespoons cider vinegar,cider vinegar,"""02048"""
208,220,2 tablespoons sugar,sugar,"""19335"""
209,221,1 1/2 tablespoons peeled chopped fresh gingerroot,peeled chopped fresh gingerroot,"""11216"""
210,222,2 (1/2-thick) salmon steaks,(thick) salmon steaks,"""15238"""
211,223,3 cups all-purpose flour spooned and leveled plus more for dusting,allpurpose flour spooned and leveled plus more for dusting,"""20581"""
212,224,2 teaspoons baking powder,baking powder,"""18371"""
213,225,1 teaspoon salt,salt,"""02047"""
214,226,1 cup (2 sticks) unsalted butter,( sticks) unsalted butter,"""01145"""
215,227,1 cup granulated sugar,granulated sugar,"""19335"""
216,228,3 large eggs 2 lightly beaten and 1 whole,eggs lightly beaten and whole,"""01123"""
217,229,1 teaspoon vanilla,vanilla,"""02050"""
218,231,1/4 cup yellow sanding sugar,yellow sanding sugar,"""19335"""
219,232,8 tablespoons (1 stick) unsalted butter softened,( stick) unsalted butter softened,"""01145"""
220,233,1 cup plus 6 tablespoons confectioners sugar sifted,plus confectioners sugar sifted,"""19335"""
221,234,1 egg,egg,"""01123"""
222,235,1 teaspoon salt,salt,"""02047"""
223,236,1 1/4 cups all purpose flour,all purpose flour,"""20581"""
224,237,1/2 cup ground almonds,ground almonds,"""12061"""
225,238,4 cups coconut milk or 4 Thai coconuts,coconut milk or thai coconuts,"""12117"""
226,239,1 cup dates pitted,dates pitted,"""09421"""
227,240,1 cup filtered ice,filtered ice,"""14411"""
228,241,4 tablespoons almond butter,almond butter,"	""12695"""
229,242,4 tablespoons maca powder,maca powder,"""19070"""
230,243,3 teaspoons ground vanilla powder,ground vanilla powder,"""02050"""
231,244,2 teaspoons cistanche herb,cistanche herb,"""14188"""
232,245,2 teaspoons mesquite powder,mesquite powder,"""11157"""
233,246,1 teaspoon ground cinnamon,ground cinnamon,"""02010"""
234,247,1/2 teaspoon ground cloves,ground cloves,"""02011"""
235,248,Few pinches sea salt,few sea salt,"""02047"""
236,252,1 yellow twisted licorice,yellow twisted licorice,"""19112"""
237,254,10 jelly beans (5 peach 5 pink),jelly beans ( peach pink),"""19108"""
238,255,2 2/3 cups sugar,sugar,"""19335"""
239,256,1 cup (2 sticks) unsalted butter cut into 1-inch pieces,( sticks) unsalted butter cut intoinch pieces,"""01145"""
240,257,2 large eggs,eggs,"""01123"""
241,258,2 large egg yolks,egg yolks,"""01125"""
242,259,2/3 cup milk,milk,"""01077"""
243,260,2/3 cup water,water,"""14411"""
244,261,2 1/2 teaspoons pure vanilla extract,pure vanilla extract,"""02050"""
245,262,2 2/3 cups all-purpose flour,allpurpose flour,"""20581"""
246,263,1 1/3 cups cake flour,cake flour,"""20084"""
247,264,4 teaspoons baking powder,baking powder,"""18371"""
248,265,1/2 teaspoon fine salt,fine salt,"""02047"""
249,266,Three 1 pound boxes confectioners sugar,three boxes confectioners sugar,"""19335"""
250,267,1 cup water,water,"""14411"""
251,268,5 tablespoons light corn syrup,light corn syrup,"""19350"""
252,269,1 tablespoon pure vanilla extract,pure vanilla extract,"""02050"""
253,271,2 cups sweetened shredded coconut,sweetened shredded coconut,"""12179"""
254,274,3/4 pound fettucine,fettucine,"""20120"""
255,275,12 ounces cooked chicken or smoked chicken,cooked chicken or smoked chicken,"""05011"""
256,276,4 scallions thinly sliced,scallions thinly sliced,"""11291"""
257,277,2 to 3 tablespoons Oriental sesame oil,to oriental sesame oil,"""04058"""
258,278,2 to 3 tablespoons rice vinegar,to rice vinegar,"""02068"""
259,279,2 teaspoons Chinese chili paste with garlic,chinese chili paste with garlic,"""06962"""
260,280,1/4 cup chunky peanut butter,chunky peanut butter,"""16097"""
261,281,Salt,salt,"""02047"""
262,282,Crushed red pepper,crushed red pepper,"""11821"""
263,283,Spinach leaves as a bed for salad,spinach leaves as a bed for salad,"""11457"""
264,284,2 Kirby cucumbers peeled seeded and grated for garnish,kirby cucumbers peeled seeded and grated for,"""11205"""
265,286,1/2 cup minced red onion,minced red onion,"""11282"""
266,287,2 tablespoons olive oil,olive oil,"""44005"""
267,288,1 garlic clove minced,garlic clove minced,"""11215"""
268,289,1 small red bell pepper cut into 1/4-inch diced,red bell pepper cut intoinch diced,"""11821"""
269,290,1/2 teaspoon chili powder,chili powder,"""02009"""
270,291,1/4 teaspoon ground cumin,ground cumin,"""02014"""
271,292,1/8 teaspoon cayenne,cayenne,"""02031"""
272,293,3/4 pound ground turkey,ground turkey,"""05665"""
273,294,1 14-ounce can plum tomatoes including-the juice,plum tomatoes includingthe juice,"""11531"""
274,295,1 pinch of dried hot red pepper,of dried hot red pepper,"""02031"""
275,297,1/4 pound rigatoni,rigatoni,"""20120"""
276,298,coarsely grated Monterey Jack for sprinkling the pasta,coarsely grated monterey jack for sprinkling the pasta,"""01025"""
277,299,1/3 cup sugar,sugar,"""19335"""
278,300,2 tablespoons water,water,"""14411"""
279,301,3 tablespoons butter,butter,"""01001"""
280,302,2 pounds Granny Smith apples peeled cored and coarsely chopped,granny smith apples peeled cored and coarsely chopped,"""09502"""
281,303,1/2 cup brandy,brandy,"""14037"""
282,304,6 eggs,eggs,"""01123"""
283,305,1/2 cup sugar,sugar,"""19335"""
284,306,1 teaspoon cinnamon,cinnamon,"""02010"""
285,307,1 cup half-and-half,halfandhalf,"""01049"""
286,308,2 1/4 pounds ripe tomatoes (about 7 medium),ripe tomatoes (about medium),"""11529"""
287,309,2 tablespoons extra virgin olive oil,extra virgin olive oil,"""04708"""
288,310,3 cloves garlic peeled and finely chopped,cloves garlic peeled and finely chopped,"""11215"""
289,311,2 large shallots peeled and finely chopped,shallots peeled and finely chopped,"""11677"""
290,312,1 branch fresh thyme,branch fresh thyme,"""02049"""
291,313,1/4 teaspoon chopped fresh rosemary,chopped fresh rosemary,"""02063"""
292,314,1 tablespoon tomato paste,tomato paste,"""11546"""
293,315,1 teaspoon fine sea salt,fine sea salt,"""02047"""
294,316,1/4 teaspoon freshly ground white pepper,freshly ground white pepper,"""02032"""
295,317,5 sheets frozen phyllo dough defrosted,sheets frozen phyllo dough defrosted,"""18338"""
296,318,1/3 cup unsalted butter melted,unsalted butter melted,"""01145"""
297,319,1 tablespoon unsalted butter melted,unsalted butter melted,"""01145"""
298,320,54 uncooked medium shrimp (about 3 pounds) peeled sliced in half horizontally and deveined,uncooked shrimp (about pounds) peeled sliced in half horizontally and deveined,"""15270"""
299,321,Fine sea salt to taste,fine sea salt to taste,"""02047"""
300,322,Freshly ground white pepper to taste,freshly ground white pepper to taste,"""02032"""
301,323,Cayenne to taste,cayenne to taste,"""02031"""
302,324,36 long saffron threads,long saffron threads,"""02037"""
303,325,1/4 teaspoon fresh thyme leaves,fresh thyme leaves,"""02049"""
304,326,3 tablespoons extravirgin olive oil,extravirgin olive oil,"""44005"""
305,327,6 fresh basil leaves cut across into thin strips,fresh basil leaves cut across into thin strips,"""02044"""
306,328,Butter or nonstick vegetable oil spray (for pan),butter or nonstick vegetable oil spray (for pan),"""04679"""
307,329,1 batch Our Favorite Pie Dough divided into 2 discs chilled,batch our favorite pie dough divided into discs chilled,"""18946"""
308,331,3 cups mixed berries preferably a mix of blueberries and hulled quartered strawberries,mixed berries preferably a mix of blueberries and hulled quartered strawberries,"""09050"""
309,332,1 cup blueberry preserves,blueberry preserves,"""09352"""
310,333,3 tablespoons cornstarch,cornstarch,"""20027"""
311,334,2 teaspoons fresh lemon juice,fresh lemon juice,"""09152"""
312,335,1/8 teaspoon kosher salt,kosher salt,"""02047"""
313,336,1 large egg (optional),egg (optional),"""01123"""
314,337,2 teaspoons milk (optional),milk (optional),"""01077"""
315,338,1 teaspoon coarse sugar (optional),coarse sugar (optional),"""19335"""
316,340,2 1/2 cups lukewarm water,lukewarm water,"""14411"""
317,341,1 teaspoon dry yeast,dry yeast,"""18375"""
318,342,6-7 cups unbleached all purpose flour,unbleached all purpose flour,"""20581"""
319,343,2 tablespoons olive oil plus extra for oiling surfaces,olive oil plus extra for oiling surfaces,"""44005"""
320,344,2 teaspoons salt,salt,"""02047"""
321,345,1 1/2 cups pitted and chopped black olives (Nyons or Kalamata),pitted and chopped black olives (nyons or kalamata),"""09194"""
322,346,1/4 cup buckwheat flour,buckwheat flour,"""20011"""
323,347,1 cup sugar,sugar,"""19335"""
324,348,1/4 cup water,water,"""14411"""
325,349,2 1/2 cups whole milk,whole milk,"""01077"""
326,350,1 (3-inch) cinnamon stick,(inch) cinnamon,"""02010"""
327,351,1 (14-ounces) can sweetened condensed milk,(ounces) sweetened condensed milk,"""01095"""
328,352,8 ounces cream cheese softened,cream cheese softened,"""01017"""
329,353,5 large eggs,eggs,"""01123"""
330,354,1 teaspoon pure vanilla extract,pure vanilla extract,"""02050"""
331,355,1/8 teaspoon salt,salt,"""02047"""
332,357,3 3/4 pounds pumpkin or butternut squash,pumpkin or butternut squash,"""11422"""
333,358,1 acorn squash (about 1 3/4 pounds),acorn squash (about pounds),"""11482"""
334,359,6 tablespoons (3/4 stick) unsalted butter,( stick) unsalted butter,"""01145"""
335,360,1/2 teaspoon kosher salt,kosher salt,"""02047"""
336,361,1/8 teaspoon freshly ground white pepper,freshly ground white pepper,"""02032"""
337,362,1/4 teaspoon ground nutmeg,ground nutmeg,"""02025"""
338,363,1 white onion (about 4 ounces) peeled trimmed and finely diced,white onion (about ounces) peeled trimmed and finely diced,"""11282"""
339,364,1/4 teaspoon ground ginger,ground ginger,"""02021"""
340,365,1/8 teaspoon ground cardamom,ground cardamom,"""02006"""
341,366,4 cups chicken stock or vegetable stock,chicken stock or vegetable stock,"""06172"""
342,367,1 cup heavy cream,heavy cream,"""01053"""
343,368,1 sprig fresh rosemary,fresh rosemary,"""02063"""
344,369,1 recipe cranberry relish recipe follows,cranberry relish follows,"""09078"""
345,371,1/2 recipe spiced caramelized pecans recipe follows,spiced caramelized pecans follows,"""12142"""
346,372,4 tablespoons pumpkin seed oil,pumpkin seed oil,"""04517"""
347,373,2 cups fresh cranberries,fresh cranberries,"""09078"""
348,374,1/2 cup sugar,sugar,"""19335"""
349,375,1/2 cup verjus or 3 tablespoons lemon juice,verjus or lemon juice,"""14037"""
350,376,3 cups peanut oil,peanut oil,"""44005"""
351,377,2 cups pecan halves,pecan halves,"""12142"""
352,378,1 teaspoon kosher salt,kosher salt,"""02047"""
353,379,1/2 teaspoon cayenne pepper,cayenne pepper,"""02031"""
354,380,1 cup sifted confectioners sugar,sifted confectioners sugar,"""19335"""
355,381,2 cups heavy cream,heavy cream,"""01053"""
356,382,1 tablespoon black cardamom seeds,black cardamom seeds,"""02006"""
357,383,1 cup strong brewed coffee,strong brewed coffee,"""14210"""
358,384,2 cups nonfat vanilla frozen yogurt,nonfat vanilla frozen yogurt,"""19293"""
359,385,2 fresh bananas frozen and sliced,fresh bananas frozen and sliced,"""09040"""
360,386,1 tablespoon hazelnut flavored or almond flavored syrup,hazelnut flavored or almond flavored syrup,"""04532"""
361,387,1-ounce vanilla-flavored vodka (recommended: Skyy Vanilla Vodka),vanillaflavored vodka (recommended: skyy vanilla vodka),"""14037"""
362,388,1-ounce Tuaca liqueur,tuaca liqueur,"""14037"""
363,389,Splash pineapple juice,splash pineapple juice,"""09409"""
364,390,Splash lime juice (recommended: Finest Call Lime Juice),splash lime juice (recommended: finest call lime juice),"""09160"""
365,391,1 cup fish stock,fish stock,"""06174"""
366,392,1/4 cup dry sherry,dry sherry,"""14536"""
367,393,1/4 cup lowsodium soy sauce,lowsodium soy sauce,"""16424"""
368,394,3 stalks fresh lemongrass crushed,stalks fresh lemongrass crushed,"""06625"""
369,395,2 tablespoons peeled  finely chopped fresh ginger,peeled finely chopped fresh ginger,"""11216"""
370,396,1 chili pepper or 1/4 teaspoon crushed red pepper,chili pepper or crushed red pepper,"""02009"""
371,397,1/4 cup chopped scallions,chopped scallions,"""11291"""
372,398,12 large fresh shiitake mushroom caps,fresh shiitake mushroom caps,"""11238"""
373,399,1 small bok choy washed and sliced into wedges,bok choy washed and sliced into wedges,"""11116"""
374,400,1/4 cup unsweetened coconut milk,unsweetened coconut milk,"""12117"""
375,401,1 teaspoon Thai red curry paste,thai red curry paste,"""06624"""
376,402,1 1/2 pound whole sea bass scales removed head on and gutted,whole sea bass scales removed head on and gutted,"""15091"""
377,403,1 recipe Saffron Basmati Rice,saffron basmati rice,"""20037"""
378,404,1/4 teaspoon fennel seeds,fennel seeds,"""02018"""
379,405,a 6-inch pita loaf (preferably pocketless),ainch pita loaf (preferably pocketless),"""18041"""
380,406,1 teaspoon extra-virgin olive oil,extravirgin olive oil,"""04708"""
381,407,1/8 teaspoon coarse salt,coarse salt,"""02047"""
