,original_text,NDB_ID,Description
41,6 large eggs beaten at room temperature,"""01123""","egg, whole, raw, fresh"
42,Two 5-ounce cans tuna packed in olive oil drained and flaked into 1/4 to 1/2-inch pieces such as Flott,"""15124""","fish, tuna, white, canned in oil, drained solids"
43,1/4 cup milk at room temperature,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
44,3 tablespoons chopped fresh flat-leaf parsley,"""11297""","parsley, fresh"
45,1 tablespoon anchovy paste,"""15002""","fish, anchovy, european, canned in oil, drained solids"
46,1/2 teaspoon kosher salt,"""02047""","salt, table"
47,1/2 teaspoon freshly ground black pepper,"""02030""","spices, pepper, black"
48,1 tablespoon extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
49,1 tablespoon unsalted butter at room temperature,"""01145""","butter, without salt"
50,2 Roma tomatoes seeded and chopped,"""11529""","tomatoes, red, ripe, raw, year round average"
51,1 cup (8 ounces) mascarpone at room temperature,"""01017""","cheese, cream"
52,1/2 teaspoon kosher salt,"""02047""","salt, table"
53,1 1/4 cups all purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
54,1/2 tablespoon sugar,"""19335""","sugars, granulated"
55,1/2 teaspoon salt,"""02047""","salt, table"
56,1/2 cup (1 stick) chilled unsalted butter cut into 1/2-inch cubes,"""01145""","butter, without salt"
57,3 tablespoons (or more) ice water,"""14411""","beverages, water, tap, drinking"
58,2/3 cup finely grated fresh Parmesan,"""01033""","cheese, parmesan, hard"
59,3/4 pound ground turkey or lean ground beef,"""05665""","turkey, ground, 93% lean, 7% fat, raw"
60,1/2 small onion finely chopped,"""11282""","onions, raw"
61,1/2 cup fresh bread crumbs,"""18079""","bread, crumbs, dry, grated, plain"
62,1/2 cup cooked squeezed dry and chopped spinach,"""11457""","spinach, raw"
63,1 large egg lightly beaten,"""01123""","egg, whole, raw, fresh"
64,Coarse salt,"""02047""","salt, table"
65,2 tablespoons extra-virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
66,8 ounces star-shape pasta (or any small pasta such as orzo),"""20120""","pasta, dry, enriched"
67,4 cups chicken stock or broth,"""06172""","soup, stock, chicken, home-prepared"
68,1 1/2 cups brown raisins,"""09299""","raisins, seeded"
69,2 1/4 cups sifted all purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
70,1 teaspoon baking powder,"""18371""","leavening agents, baking powder, low-sodium"
71,1/2 teaspoon salt,"""02047""","salt, table"
72,1 1/4 cups (2 1/2 sticks) unsalted butter room temperature,"""01145""","butter, without salt"
73,1 2/3 cups sugar,"""19335""","sugars, granulated"
74,5 large eggs,"""01123""","egg, whole, raw, fresh"
75,7 tablespoons dark rum,"""14050""","alcoholic beverage, distilled, rum, 80 proof"
76,2 teaspoons vanilla extract,"""02050""",vanilla extract
77,1/2 cup powdered sugar,"""19336""","sugars, powdered"
78,2 teaspoons whipping cream,"""01053""","cream, fluid, heavy whipping"
79,1/4 pound chorizo sausage skinned and finely chopped,"""07019""","sausage, pork, chorizo, link or ground, raw"
80,Bunuelo Dough,"""18633""","pillsbury grands, buttermilk biscuits, refrigerated dough"
81,Oil for frying,"""04582""","oil, canola"
82,1 cup water,"""14411""","beverages, water, tap, drinking"
83,3 tablespoons butter,"""01001""","butter, salted"
84,3/8 teaspoon salt,"""02047""","salt, table"
85,1 cup flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
86,2 eggs,"""01123""","egg, whole, raw, fresh"
87,4 tablespoons (1/2 stick) butter softened,"""01001""","butter, salted"
88,1/4 cup honey,"""19296""",honey
89,1 1/2 cups all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
90,1/2 cup whole-wheat flour,"""20080""","wheat flour, whole-grain (includes foods for usda's food distribution program)"
91,1/2 teaspoon baking soda,"""18372""","leavening agents, baking soda"
92,1/2 teaspoon salt,"""02047""","salt, table"
93,1/4 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
94,2 cups buttermilk,"""01230""","milk, buttermilk, fluid, whole"
95,2 eggs,"""01123""","egg, whole, raw, fresh"
96,4 tablespoons (1/2 stick) butter melted plus more for cooking pancakes,"""01001""","butter, salted"
97,1 tablespoon honey,"""19296""",honey
98,7 tablespoons olive oil divided,"""44005""","oil, corn, peanut, and olive"
99,3 pounds onions thinly sliced,"""11282""","onions, raw"
100,1 pound pitted prunes halved,"""09291""","plums, dried (prunes), uncooked"
101,12 ounces pitted dates halved,"""09421""","dates, medjool"
102,10 ounces dried apricot halves (about 2 cups),"""09032""","apricots, dried, sulfured, uncooked"
103,3 tablespoons sugar,"""19335""","sugars, granulated"
104,1 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
105,2 (4- to 4 1/2-pound) chickens rinsed patted dry,"""05011""","chicken, broilers or fryers, meat only, raw"
106,1 teaspoon turmeric divided,"""02043""","spices, turmeric, ground"
107,1 1/2 cups (or more) water,"""14411""","beverages, water, tap, drinking"
108,1/2 cup blanched slivered almonds toasted,"""12061""","nuts, almonds"
109,8 tablespoons unsalted butter,"""01145""","butter, without salt"
110,1 cup sugar,"""19335""","sugars, granulated"
111,1/2 vanilla bean split lengthwise,"""02050""",vanilla extract
112,1 cinnamon stick 2 to 3 inches,"""02010""","spices, cinnamon, ground"
113,1 tablespoon vanilla brandy or plain brandy,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
114,1 tablespoon lemon juice,"""09152""","lemon juice, raw"
115,6 peaches halved and pitted,"""09236""","peaches, yellow, raw"
116,2 sheets puff pastry,"""18337""","puff pastry, frozen, ready-to-bake"
117,8 ounces/250g raspberries,"""09302""","raspberries, raw"
118,8 ounces/250g strawberries,"""09316""","strawberries, raw"
119,1/2 cup/100g sugar,"""19335""","sugars, granulated"
120,Juice of 1/2 lemon,"""09152""","lemon juice, raw"
121,1 pound/500g mixed soft fruits and berries such as strawberries raspberries blackberries blueberries,"""09042""","blackberries, raw"
122,A handful fresh mint leaves chopped,"""02064""","peppermint, fresh"
123,1 bottle (750ml) cold Champagne,"""14132""","alcoholic beverage, wine, table, white, riesling"
124,1 lime wedge,"""09159""","limes, raw"
125,Coarse salt for coating the rim of the glass,"""02047""","salt, table"
126,1 jigger (1 1/2 ounces) tequila,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
127,3 tablespoons fresh pink grapefruit juice (preferably ruby red),"""09404""","grapefruit juice, pink, raw"
128,1 pony (1 ounce) orange-flavored liqueur,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
129,1/2 teaspoon superfine sugar if desired,"""19335""","sugars, granulated"
130,1/4 cup extra-virgin olive oil plus additional for brushing,"""04708""","mayonnaise, reduced fat, with olive oil"
131,2 garlic cloves peeled crushed,"""11215""","garlic, raw"
132,2 pounds ripe plum tomatoes (preferably San Marzano-style) coarsely chopped or one 28-ounce can San Marzano tomatoes in juice with basil leaves,"""11529""","tomatoes, red, ripe, raw, year round average"
133,1/2 teaspoon dried crushed red pepper,"""02031""","spices, pepper, red or cayenne"
134,Coarse kosher salt,"""02047""","salt, table"
135,6 10- to 11-ounce New York steaks (preferably prime; 1 1/4 inches thick),"""23607""","beef, short loin, top loin steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"
136,6 5x3x1/2-inch slices pain rustique ciabatta or other rustic countrystyle bread,"""18967""","bread, white wheat"
137,2 (6-ounce) cans chunk light tuna in water drained well,"""15119""","fish, tuna, light, canned in oil, drained solids"
138,1/4 cup finely diced red onion,"""11282""","onions, raw"
139,1/4 cup chopped fresh parsley leaves,"""11297""","parsley, fresh"
140,1/4 cup chopped calamata olives,"""09193""","olives, ripe, canned (small-extra large)"
141,3 tablespoons olive oil,"""44005""","oil, corn, peanut, and olive"
142,2 tablespoons freshly squeezed lemon juice,"""09152""","lemon juice, raw"
143,Salt,"""02047""","salt, table"
144,Freshly ground black pepper,"""02030""","spices, pepper, black"
145,6 cups pre-washed mixed greens (about 3 ounces),"""11253""","lettuce, green leaf, raw"
146,4 whole-grain wrap breads (about 2 ounces each),"""18616""","mission foods, mission flour tortillas, soft taco, 8 inch"
147,2 large tomatoes sliced,"""11529""","tomatoes, red, ripe, raw, year round average"
148,4 cups good quality chicken stock,"""06172""","soup, stock, chicken, home-prepared"
149,1/2 cup finely chopped carrots,"""11124""","carrots, raw"
150,1/2 cup finely chopped celery,"""11143""","celery, raw"
151,1/2 cup finely chopped onion,"""11282""","onions, raw"
152,3 large eggs,"""01123""","egg, whole, raw, fresh"
153,1 teaspoon all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
154,2 teaspoons olive oil plus more for crepes,"""44005""","oil, corn, peanut, and olive"
155,3 mushrooms sliced,"""11260""","mushrooms, white, raw"
156,3 leaves romaine lettuce shredded,"""11251""","lettuce, cos or romaine, raw"
157,2 1/2 cups cake flour,"""20084""","wheat flour, white, cake, enriched"
158,1 1/2 teaspoons baking soda,"""18372""","leavening agents, baking soda"
159,1 teaspoon salt,"""02047""","salt, table"
160,1 1/2 sticks unsalted butter at room temperature,"""01145""","butter, without salt"
161,2 cups granulated sugar,"""19335""","sugars, granulated"
162,3 1/2 ounces dark chocolate melted and cooled,"""19904""","chocolate, dark, 70-85% cacao solids"
163,1 teaspoon vanilla extract,"""02050""",vanilla extract
164,2 eggs,"""01123""","egg, whole, raw, fresh"
165,1 1/2 cups cold water,"""14411""","beverages, water, tap, drinking"
166,Raspberry liqueur such as Chambord for drizzling,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
167,Nonstick cooking spray,"""04679""","oil, pam cooking spray, original"
168,Dark chocolate shavings for decoration,"""19120""","candies, milk chocolate"
169,3 cups powdered sugar,"""19336""","sugars, powdered"
170,7 tablespoons hot water,"""14411""","beverages, water, tap, drinking"
171,4 ounces dark chocolate melted and cooled,"""19904""","chocolate, dark, 70-85% cacao solids"
172,2 teaspoons vanilla extract,"""02050""",vanilla extract
173,1/2 stick unsalted butter at room temperature,"""01145""","butter, without salt"
174,4 medium zucchini (about 1/2 pound each),"""11477""","squash, summer, zucchini, includes skin, raw"
175,Nonstick cooking spray for spraying the parchment,"""04679""","oil, pam cooking spray, original"
176,2/3 cup grated Parmesan cheese (about 2 ounces),"""01033""","cheese, parmesan, hard"
177,1/2 cup thinly sliced scallions,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
178,1 teaspoon chili powder,"""02009""","spices, chili powder"
179,1 teaspoon ground cumin,"""02014""","spices, cumin seed"
180,1/2 teaspoon garlic powder,"""02020""","spices, garlic powder"
181,1/2 teaspoon kosher salt,"""02047""","salt, table"
182,2 eggs,"""01123""","egg, whole, raw, fresh"
183,3/4 cup quartered cherry tomatoes,"""11529""","tomatoes, red, ripe, raw, year round average"
184,2 teaspoons finely chopped fresh basil leaves,"""02044""","basil, fresh"
185,2 teaspoons finely chopped fresh mint leaves,"""02064""","peppermint, fresh"
186,1/4 teaspoon kosher salt,"""02047""","salt, table"
187,1/2 medium zucchini finely chopped,"""11477""","squash, summer, zucchini, includes skin, raw"
188,Juice of 1/2 lime,"""09160""","lime juice, raw"
189,1 tablespoon olive oil,"""44005""","oil, corn, peanut, and olive"
190,1/2 pound ground beef,"""23572""","beef, ground, 80% lean meat / 20% fat, raw"
191,1 shallot finely chopped,"""11677""","shallots, raw"
192,1 serrano chile seeds and ribs removed finely chopped (about 2 teaspoons),"""11977""","peppers, serrano, raw"
193,1 teaspoon kosher salt,"""02047""","salt, table"
194,1 to 2 ears corn husked and kernels removed (about 1 1/2 cups kernels),"""11167""","corn, sweet, yellow, raw"
195,1/2 teaspoon ancho chile powder,"""02009""","spices, chili powder"
196,1/2 teaspoon ground cumin,"""02014""","spices, cumin seed"
197,One 15-ounce can refried beans warmed,"""16103""","refried beans, canned, traditional style"
198,1/4 cup crumbled feta cheese,"""01019""","cheese, feta"
199,1 baked 13 by 9 by 2-inch cake,"""18146""","cake, yellow, prepared from recipe without frosting"
200,6 cups blue frosting,"""19230""","frostings, vanilla, creamy, ready-to-eat"
201,2 cups orange-yellow frosting,"""19230""","frostings, vanilla, creamy, ready-to-eat"
202,Necco wafers,"""18213""","cookies, vanilla wafers, higher fat"
203,1 mint patty,"""19091""","candies, york peppermint pattie"
204,1/3 cup soy sauce,"""16124""",soy sauce made from soy (tamari)
205,2 tablespoons mirin or medium dry Sherry,"""02068""","vinegar, red wine"
206,2 1/2 tablespoons cider vinegar,"""02048""","vinegar, cider"
207,2 tablespoons sugar,"""19335""","sugars, granulated"
208,1 1/2 tablespoons peeled chopped fresh gingerroot,"""11216""","ginger root, raw"
209,2 (1/2-thick) salmon steaks,"""15238""","fish, salmon, coho, farmed, raw"
210,3 cups all-purpose flour spooned and leveled plus more for dusting,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
211,2 teaspoons baking powder,"""18371""","leavening agents, baking powder, low-sodium"
212,1 teaspoon salt,"""02047""","salt, table"
213,1 cup (2 sticks) unsalted butter,"""01145""","butter, without salt"
214,1 cup granulated sugar,"""19335""","sugars, granulated"
215,3 large eggs 2 lightly beaten and 1 whole,"""01123""","egg, whole, raw, fresh"
216,1 teaspoon vanilla,"""02050""",vanilla extract
217,1/4 cup yellow sanding sugar,"""19335""","sugars, granulated"
218,8 tablespoons (1 stick) unsalted butter softened,"""01145""","butter, without salt"
219,1 cup plus 6 tablespoons confectioners sugar sifted,"""19335""","sugars, granulated"
220,1 egg,"""01123""","egg, whole, raw, fresh"
221,1 teaspoon salt,"""02047""","salt, table"
222,1 1/4 cups all purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
223,1/2 cup ground almonds,"""12061""","nuts, almonds"
224,4 cups coconut milk or 4 Thai coconuts,"""12117""","nuts, coconut milk, raw (liquid expressed from grated meat and water)"
225,1 cup dates pitted,"""09421""","dates, medjool"
226,1 cup filtered ice,"""14411""","beverages, water, tap, drinking"
227,4 tablespoons almond butter,"""12695""","nuts, almond butter, plain, with salt added"
228,4 tablespoons maca powder,"""19070""","candies, butterscotch"
229,3 teaspoons ground vanilla powder,"""02050""",vanilla extract
230,2 teaspoons cistanche herb,"""14188""","beverages, tea, green, ready to drink, ginseng and honey, sweetened"
231,2 teaspoons mesquite powder,"""11157""","chrysanthemum, garland, raw"
232,1 teaspoon ground cinnamon,"""02010""","spices, cinnamon, ground"
233,1/2 teaspoon ground cloves,"""02011""","spices, cloves, ground"
234,Few pinches sea salt,"""02047""","salt, table"
235,1 yellow twisted licorice,"""19112""","candies, twizzlers strawberry twists candy"
236,10 jelly beans (5 peach 5 pink),"""19108""","candies, jellybeans"
237,2 2/3 cups sugar,"""19335""","sugars, granulated"
238,1 cup (2 sticks) unsalted butter cut into 1-inch pieces,"""01145""","butter, without salt"
239,2 large eggs,"""01123""","egg, whole, raw, fresh"
240,2 large egg yolks,"""01125""","egg, yolk, raw, fresh"
241,2/3 cup milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
242,2/3 cup water,"""14411""","beverages, water, tap, drinking"
243,2 1/2 teaspoons pure vanilla extract,"""02050""",vanilla extract
244,2 2/3 cups all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
245,1 1/3 cups cake flour,"""20084""","wheat flour, white, cake, enriched"
246,4 teaspoons baking powder,"""18371""","leavening agents, baking powder, low-sodium"
247,1/2 teaspoon fine salt,"""02047""","salt, table"
248,Three 1 pound boxes confectioners sugar,"""19335""","sugars, granulated"
249,1 cup water,"""14411""","beverages, water, tap, drinking"
250,5 tablespoons light corn syrup,"""19350""","syrups, corn, light"
251,1 tablespoon pure vanilla extract,"""02050""",vanilla extract
252,2 cups sweetened shredded coconut,"""12179""","nuts, coconut meat, dried (desiccated), sweetened, shredded"
253,3/4 pound fettucine,"""20120""","pasta, dry, enriched"
254,12 ounces cooked chicken or smoked chicken,"""05011""","chicken, broilers or fryers, meat only, raw"
255,4 scallions thinly sliced,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
256,2 to 3 tablespoons Oriental sesame oil,"""04058""","oil, sesame, salad or cooking"
257,2 to 3 tablespoons rice vinegar,"""02068""","vinegar, red wine"
258,2 teaspoons Chinese chili paste with garlic,"""06962""","sauce, chili, peppers, hot, immature green, canned"
259,1/4 cup chunky peanut butter,"""16097""","peanut butter, chunk style, with salt"
260,Salt,"""02047""","salt, table"
261,Crushed red pepper,"""11821""","peppers, sweet, red, raw"
262,Spinach leaves as a bed for salad,"""11457""","spinach, raw"
263,2 Kirby cucumbers peeled seeded and grated for garnish,"""11205""","cucumber, with peel, raw"
264,1/2 cup minced red onion,"""11282""","onions, raw"
265,2 tablespoons olive oil,"""44005""","oil, corn, peanut, and olive"
266,1 garlic clove minced,"""11215""","garlic, raw"
267,1 small red bell pepper cut into 1/4-inch diced,"""11821""","peppers, sweet, red, raw"
268,1/2 teaspoon chili powder,"""02009""","spices, chili powder"
269,1/4 teaspoon ground cumin,"""02014""","spices, cumin seed"
270,1/8 teaspoon cayenne,"""02031""","spices, pepper, red or cayenne"
271,3/4 pound ground turkey,"""05665""","turkey, ground, 93% lean, 7% fat, raw"
272,1 14-ounce can plum tomatoes including-the juice,"""11531""","tomatoes, red, ripe, canned, packed in tomato juice"
273,1 pinch of dried hot red pepper,"""02031""","spices, pepper, red or cayenne"
274,1/4 pound rigatoni,"""20120""","pasta, dry, enriched"
275,coarsely grated Monterey Jack for sprinkling the pasta,"""01025""","cheese, monterey"
276,1/3 cup sugar,"""19335""","sugars, granulated"
277,2 tablespoons water,"""14411""","beverages, water, tap, drinking"
278,3 tablespoons butter,"""01001""","butter, salted"
279,2 pounds Granny Smith apples peeled cored and coarsely chopped,"""09502""","apples, raw, granny smith, with skin (includes foods for usda's food distribution program)"
280,1/2 cup brandy,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
281,6 eggs,"""01123""","egg, whole, raw, fresh"
282,1/2 cup sugar,"""19335""","sugars, granulated"
283,1 teaspoon cinnamon,"""02010""","spices, cinnamon, ground"
284,1 cup half-and-half,"""01049""","cream, fluid, half and half"
285,2 1/4 pounds ripe tomatoes (about 7 medium),"""11529""","tomatoes, red, ripe, raw, year round average"
286,2 tablespoons extra virgin olive oil,"""04708""","mayonnaise, reduced fat, with olive oil"
287,3 cloves garlic peeled and finely chopped,"""11215""","garlic, raw"
288,2 large shallots peeled and finely chopped,"""11677""","shallots, raw"
289,1 branch fresh thyme,"""02049""","thyme, fresh"
290,1/4 teaspoon chopped fresh rosemary,"""02063""","rosemary, fresh"
291,1 tablespoon tomato paste,"""11546""","tomato products, canned, paste, without salt added (includes foods for usda's food distribution program)"
292,1 teaspoon fine sea salt,"""02047""","salt, table"
293,1/4 teaspoon freshly ground white pepper,"""02032""","spices, pepper, white"
294,5 sheets frozen phyllo dough defrosted,"""18338""",phyllo dough
295,1/3 cup unsalted butter melted,"""01145""","butter, without salt"
296,1 tablespoon unsalted butter melted,"""01145""","butter, without salt"
297,54 uncooked medium shrimp (about 3 pounds) peeled sliced in half horizontally and deveined,"""15270""","crustaceans, shrimp, raw"
298,Fine sea salt to taste,"""02047""","salt, table"
299,Freshly ground white pepper to taste,"""02032""","spices, pepper, white"
300,Cayenne to taste,"""02031""","spices, pepper, red or cayenne"
301,36 long saffron threads,"""02037""","spices, saffron"
302,1/4 teaspoon fresh thyme leaves,"""02049""","thyme, fresh"
303,3 tablespoons extravirgin olive oil,"""44005""","oil, corn, peanut, and olive"
304,6 fresh basil leaves cut across into thin strips,"""02044""","basil, fresh"
305,Butter or nonstick vegetable oil spray (for pan),"""04679""","oil, pam cooking spray, original"
306,1 batch Our Favorite Pie Dough divided into 2 discs chilled,"""18946""","pie crust, refrigerated, regular, baked"
307,3 cups mixed berries preferably a mix of blueberries and hulled quartered strawberries,"""09050""","blueberries, raw"
308,1 cup blueberry preserves,"""09352""","blueberries, canned, light syrup, drained"
309,3 tablespoons cornstarch,"""20027""",cornstarch
310,2 teaspoons fresh lemon juice,"""09152""","lemon juice, raw"
311,1/8 teaspoon kosher salt,"""02047""","salt, table"
312,1 large egg (optional),"""01123""","egg, whole, raw, fresh"
313,2 teaspoons milk (optional),"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
314,1 teaspoon coarse sugar (optional),"""19335""","sugars, granulated"
315,2 1/2 cups lukewarm water,"""14411""","beverages, water, tap, drinking"
316,1 teaspoon dry yeast,"""18375""","leavening agents, yeast, baker's, active dry"
317,6-7 cups unbleached all purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
318,2 tablespoons olive oil plus extra for oiling surfaces,"""44005""","oil, corn, peanut, and olive"
319,2 teaspoons salt,"""02047""","salt, table"
320,1 1/2 cups pitted and chopped black olives (Nyons or Kalamata),"""09194""","olives, ripe, canned (jumbo-super colossal)"
321,1/4 cup buckwheat flour,"""20011""","buckwheat flour, whole-groat"
322,1 cup sugar,"""19335""","sugars, granulated"
323,1/4 cup water,"""14411""","beverages, water, tap, drinking"
324,2 1/2 cups whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
325,1 (3-inch) cinnamon stick,"""02010""","spices, cinnamon, ground"
326,1 (14-ounces) can sweetened condensed milk,"""01095""","milk, canned, condensed, sweetened"
327,8 ounces cream cheese softened,"""01017""","cheese, cream"
328,5 large eggs,"""01123""","egg, whole, raw, fresh"
329,1 teaspoon pure vanilla extract,"""02050""",vanilla extract
330,1/8 teaspoon salt,"""02047""","salt, table"
331,3 3/4 pounds pumpkin or butternut squash,"""11422""","pumpkin, raw"
332,1 acorn squash (about 1 3/4 pounds),"""11482""","squash, winter, acorn, raw"
333,6 tablespoons (3/4 stick) unsalted butter,"""01145""","butter, without salt"
334,1/2 teaspoon kosher salt,"""02047""","salt, table"
335,1/8 teaspoon freshly ground white pepper,"""02032""","spices, pepper, white"
336,1/4 teaspoon ground nutmeg,"""02025""","spices, nutmeg, ground"
337,1 white onion (about 4 ounces) peeled trimmed and finely diced,"""11282""","onions, raw"
338,1/4 teaspoon ground ginger,"""02021""","spices, ginger, ground"
339,1/8 teaspoon ground cardamom,"""02006""","spices, cardamom"
340,4 cups chicken stock or vegetable stock,"""06172""","soup, stock, chicken, home-prepared"
341,1 cup heavy cream,"""01053""","cream, fluid, heavy whipping"
342,1 sprig fresh rosemary,"""02063""","rosemary, fresh"
343,1 recipe cranberry relish recipe follows,"""09078""","cranberries, raw"
344,1/2 recipe spiced caramelized pecans recipe follows,"""12142""","nuts, pecans"
345,4 tablespoons pumpkin seed oil,"""04517""","oil, grapeseed"
346,2 cups fresh cranberries,"""09078""","cranberries, raw"
347,1/2 cup sugar,"""19335""","sugars, granulated"
348,1/2 cup verjus or 3 tablespoons lemon juice,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
349,3 cups peanut oil,"""44005""","oil, corn, peanut, and olive"
350,2 cups pecan halves,"""12142""","nuts, pecans"
351,1 teaspoon kosher salt,"""02047""","salt, table"
352,1/2 teaspoon cayenne pepper,"""02031""","spices, pepper, red or cayenne"
353,1 cup sifted confectioners sugar,"""19335""","sugars, granulated"
354,2 cups heavy cream,"""01053""","cream, fluid, heavy whipping"
355,1 tablespoon black cardamom seeds,"""02006""","spices, cardamom"
356,1 cup strong brewed coffee,"""14210""","beverages, coffee, brewed, espresso, restaurant-prepared"
357,2 cups nonfat vanilla frozen yogurt,"""19293""","frozen yogurts, vanilla, soft-serve"
358,2 fresh bananas frozen and sliced,"""09040""","bananas, raw"
359,1 tablespoon hazelnut flavored or almond flavored syrup,"""04532""","oil, hazelnut"
360,1-ounce vanilla-flavored vodka (recommended: Skyy Vanilla Vodka),"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
361,1-ounce Tuaca liqueur,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
362,Splash pineapple juice,"""09409""","pineapple juice, canned or bottled, unsweetened, with added ascorbic acid"
363,Splash lime juice (recommended: Finest Call Lime Juice),"""09160""","lime juice, raw"
364,1 cup fish stock,"""06174""","soup, stock, fish, home-prepared"
365,1/4 cup dry sherry,"""14536""","alcoholic beverage, wine, dessert, dry"
366,1/4 cup lowsodium soy sauce,"""16424""","soy sauce made from soy and wheat (shoyu), low sodium"
367,3 stalks fresh lemongrass crushed,"""06625""","smart soup, vietnamese carrot lemongrass"
368,2 tablespoons peeled  finely chopped fresh ginger,"""11216""","ginger root, raw"
369,1 chili pepper or 1/4 teaspoon crushed red pepper,"""02009""","spices, chili powder"
370,1/4 cup chopped scallions,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
371,12 large fresh shiitake mushroom caps,"""11238""","mushrooms, shiitake, raw"
