,original_text,NDB_ID,Description
47.0,1 small serrano chile stemmed seeded and minced,"""11977""","peppers, serrano, raw"
48.0,1 medium tomato diced,"""11529""","tomatoes, red, ripe, raw, year round average"
49.0,1 Tbsp chopped cilantro plus sprigs for garnish,"""11165""","coriander (cilantro) leaves, raw"
50.0,2 limes,"""09159""","limes, raw"
51.0,Kosher salt and freshly ground black pepper,"""02030""","spices, pepper, black"
52.0,1 skirt steak about 1 pound,"""23540""","beef, plate, inside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"
53.0,Vegetable oil,"""04513""","vegetable oil, palm kernel"
54.0,1 dozen 6-inch flour tortillas,"""18363""","tortillas, ready-to-bake or -fry, corn"
55.0,Bushs® Black Bean Fiesta Grillin Beans®,"""36405""","restaurant, latino, arroz con frijoles negros (rice and black beans)"
0.0,1 pound potatoes,"""11352""","potatoes, flesh and skin, raw"
1.0,3 1/4 cups flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
2.0,Salt,"""02047""","salt, table"
3.0,2 tablespoons extra-virgin olive oil plus 3 tablespoons,"""04053""","oil, olive, salad or cooking"
4.0,1 garlic clove peeled,"""11215""","garlic, raw"
5.0,7 ounces tomato sauce,"""43217""","tomato sauce, canned, no salt added"
6.0,7 ounces crushed tomatoes,"""11693""","tomatoes, crushed, canned"
7.0,18 basil leaves julienned,"""02044""","basil, fresh"
8.0,7 ounces smoked scamorza diced,"""01161""","cheese substitute, mozzarella"
9.0,7 ounces smoked salmon diced,"""15077""","fish, salmon, chinook, smoked"
10.0,6 ounces hot maple flavored pork sausage (Southern style) crumbled,"""07064""","pork sausage, link/patty, cooked, pan-fried"
11.0,3 cups water,"""14411""","beverages, water, tap, drinking"
12.0,1 cup half-and-half,"""01049""","cream, fluid, half and half"
13.0,Kosher salt,"""02047""","salt, table"
14.0,1 cup stone-ground grits or course polenta,"""08221""","cereals, quaker, instant grits, butter flavor, dry"
15.0,Freshly cracked black pepper,"""02030""","spices, pepper, black"
16.0,4 ounces grated Gruyere,"""01023""","cheese, gruyere"
17.0,4 farm fresh eggs,"""01123""","egg, whole, raw, fresh"
18.0,1 tablespoon olive oil,"""04053""","oil, olive, salad or cooking"
19.0,3 cloves garlic thinly sliced,"""11215""","garlic, raw"
20.0,1/2 red onion thinly sliced,"""11282""","onions, raw"
21.0,1/4 cup 1/2-inch diced tomatoes,"""11529""","tomatoes, red, ripe, raw, year round average"
22.0,1 pound Prince Edward Island mussels cleaned de-bearded,"""15164""","mollusks, mussel, blue, raw"
23.0,1/2 cup Silver tequila,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
24.0,2 cups fish or shellfish stock,"""06174""","soup, stock, fish, home-prepared"
25.0,1 chipotle pepper from a can of chipotle in adobo finely chopped,"""11819""","peppers, hot chili, red, raw"
26.0,1 tablespoon chopped cilantro,"""11165""","coriander (cilantro) leaves, raw"
27.0,20 to 25 chicken wings,"""05100""","chicken, broilers or fryers, wing, meat and skin, raw"
28.0,1/4 cup hoisin sauce,"""06175""","sauce, hoisin, ready-to-serve"
29.0,1 1/2 tablespoons soy sauce,"""16124""",soy sauce made from soy (tamari)
30.0,1 tablespoon ketchup,"""11935""",catsup
31.0,1 tablespoon rice wine vinegar,"""04135""","salad dressing, home recipe, vinegar and oil"
32.0,1 tablespoon freshly squeezed lime juice,"""09160""","lime juice, raw"
33.0,1 teaspoon light brown sugar,"""19334""","sugars, brown"
34.0,1 teaspoon chopped garlic,"""11215""","garlic, raw"
35.0,1 teaspoon chopped fresh ginger,"""11216""","ginger root, raw"
36.0,1/4 teaspoon Asian chile paste,"""06631""","sauce, hot chile, sriracha"
37.0,Salt and pepper,"""02047""","salt, table"
38.0,Vegetable oil cooking spray,"""04513""","vegetable oil, palm kernel"
39.0,1 package Simply Potatoes® Steakhouse Seasoned Diced Potatoes*,"""11352""","potatoes, flesh and skin, raw"
40.0,1/2 cup chipotle or light mayonnaise,"""04708""","mayonnaise, reduced fat, with olive oil"
41.0,1/2 cup sour cream,"""01056""","cream, sour, cultured"
42.0,2 tablespoons chopped fresh chives,"""11156""","chives, raw"
43.0,1/4 teaspoon garlic salt,"""02020""","spices, garlic powder"
44.0,Freshly ground pepper to taste,"""02030""","spices, pepper, black"
45.0,1/3 cup Reduced-Fat Shredded Sharp Cheddar Cheese,"""01270""","cheese, cheddar, sharp, sliced"
46.0,1/4 cup real bacon pieces,"""10123""","pork, cured, bacon, unprepared"
47.0,1/4 cup finely chopped red onion,"""11282""","onions, raw"
0.0,20 large unpeeled garlic cloves,"""11215""","garlic, raw"
1.0,1 tablespoon olive oil,"""04053""","oil, olive, salad or cooking"
2.0,1 tablespoon water,"""14411""","beverages, water, tap, drinking"
3.0,Coarse kosher salt,"""02047""","salt, table"
4.0,Freshly ground white pepper,"""02032""","spices, pepper, white"
5.0,1 pound dark chocolate tempered,"""19080""","candies, semisweet chocolate"
6.0,3/4 cup strawberry puree,"""19297""",jams and preserves
7.0,1/2 cup unsweetened applesauce,"""09019""","applesauce, canned, unsweetened, without added ascorbic acid (includes foods for usda's food distribution program)"
8.0,1 cup corn syrup,"""19351""","syrups, corn, high-fructose"
9.0,2 cups granulated sugar,"""19335""","sugars, granulated"
10.0,2 teaspoons apple pectin,"""19310""","pectin, unsweetened, dry mix"
11.0,2 tablespoons lemon juice,"""09152""","lemon juice, raw"
12.0,1 pound milk chocolate melted,"""19120""","candies, milk chocolate"
13.0,1 cup creamy peanut butter,"""16399""","peanut butter with omega-3, creamy"
14.0,3 anchovy fillets soaked in cold water for 5 minutes dried and coarsely chopped,"""15001""","fish, anchovy, european, raw"
15.0,3/4 cup mayonnaise,"""42138""","mayonnaise, reduced-calorie or diet, cholesterol-free"
16.0,1/4 cup sour cream,"""01056""","cream, sour, cultured"
17.0,2 scallions (white and green) chopped,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
18.0,1 cup mixed fresh herbs such as basil parsley and tarragon,"""02044""","basil, fresh"
19.0,1 tablespoon freshly squeezed lime juice,"""09160""","lime juice, raw"
20.0,1/4 teaspoon kosher salt,"""02047""","salt, table"
21.0,Freshly ground black pepper,"""02030""","spices, pepper, black"
22.0,2 pounds shrimp grilled or poached recipes follow,"""15271""","crustaceans, shrimp, cooked"
23.0,2 tablespoons ground cumin,"""02014""","spices, cumin seed"
24.0,1/4 cup extra-virgin olive oil,"""04053""","oil, olive, salad or cooking"
25.0,3 tablespoons white wine vinegar,"""02053""","vinegar, distilled"
26.0,Kosher salt and freshly ground black pepper,"""02030""","spices, pepper, black"
27.0,16 small new potatoes,"""11507""","sweet potato, raw, unprepared (includes foods for usda's food distribution program)"
28.0,2 to 3 tablespoons canola oil,"""04582""","oil, canola"
29.0,1/2 cup chopped fresh parsley,"""11297""","parsley, fresh"
30.0,4 chicken breast halves,"""05062""","chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"
31.0,1 teaspoon seasoned salt,"""02047""","salt, table"
32.0,1 teaspoon Italian seasoning,"""02034""","spices, poultry seasoning"
33.0,8 to 10 string beans,"""11063""","beans, snap, green, microwaved"
34.0,1 small carrot julienned or 1 cup shredded carrots,"""11124""","carrots, raw"
35.0,1 red pepper julienned,"""11821""","peppers, sweet, red, raw"
36.0,1/2 cup shredded mozzarella,"""01026""","cheese, mozzarella, whole milk"
37.0,2 cups jarred marinara sauce,"""06976""","sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium"
0.0,4 ounces goat cheese,"""01159""","cheese, goat, soft type"
1.0,3/4 cup sour cream,"""01056""","cream, sour, cultured"
2.0,3 hard-boiled eggs peeled,"""01129""","egg, whole, cooked, hard-boiled"
3.0,2 tablespoons minced fresh chives,"""11156""","chives, raw"
4.0,2 teaspoons minced fresh cilantro,"""11165""","coriander (cilantro) leaves, raw"
5.0,2 teaspoons minced fresh dill,"""02045""","dill weed, fresh"
6.0,1 lemon zested and juiced,"""09152""","lemon juice, raw"
7.0,Salt and freshly ground black pepper,"""02030""","spices, pepper, black"
8.0,Spring vegetables for serving,"""11583""","vegetables, mixed, frozen, unprepared"
9.0,3/4 pound fresh spinach cleaned,"""11457""","spinach, raw"
10.0,1 large onion,"""11282""","onions, raw"
11.0,2 1/2 tablespoons all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
12.0,Kosher salt and freshly ground black pepper,"""02030""","spices, pepper, black"
13.0,Grapeseed or vegetable oil,"""04513""","vegetable oil, palm kernel"
14.0,1/2 fennel bulb,"""11957""","fennel, bulb, raw"
15.0,3/4 teaspoon extra-virgin olive oil,"""04053""","oil, olive, salad or cooking"
16.0,1 clove garlic minced,"""11215""","garlic, raw"
17.0,2 tablespoons Herbsaint (see Cooks Note),"""14533""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof"
18.0,1/2 cup whole milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
19.0,1 tablespoon butter,"""01001""","butter, salted"
20.0,1/4 teaspoon grated nutmeg,"""02025""","spices, nutmeg, ground"
21.0,2 to 3 tablespoons freshly grated Parmesan,"""01033""","cheese, parmesan, hard"
22.0,3 tablespoons olive oil,"""04053""","oil, olive, salad or cooking"
23.0,2 cups chopped onions,"""11282""","onions, raw"
24.0,2/3 cup chopped carrot,"""11124""","carrots, raw"
25.0,2/3 cup chopped celery,"""11143""","celery, raw"
26.0,3 1/2 cups (or more) water,"""14411""","beverages, water, tap, drinking"
27.0,2 to 2 1/2 cups cooked white beans with 3/4 cup reserved cooking liquid (see Cannellini Beans with Garlic and Sage ),"""11853""","soybeans, green, cooked, boiled, drained, with salt"
28.0,1 large tomato seeded finely chopped,"""11529""","tomatoes, red, ripe, raw, year round average"
29.0,1 cup small pasta (such as farfalline),"""20420""","pasta, dry, unenriched"
30.0,1/3 cup chopped green onions (white and pale green parts only; about 2),"""11292""","onions, young green, tops only"
31.0,Extra-virgin olive oil (for drizzling),"""04053""","oil, olive, salad or cooking"
32.0,1 cup shredded cucumber seeds discarded,"""11205""","cucumber, with peel, raw"
33.0,2 cups plain Greek yogurt (see Cooks Notes),"""01287""","yogurt, greek, plain, lowfat"
34.0,2 to 3 cloves garlic minced,"""11215""","garlic, raw"
35.0,6 sprigs fresh dill chopped,"""02045""","dill weed, fresh"
36.0,3 tablespoons white wine vinegar,"""02053""","vinegar, distilled"
37.0,4 tablespoons extra-virgin olive oil,"""04053""","oil, olive, salad or cooking"
38.0,Salt and pepper optional,"""02047""","salt, table"
39.0,1 1/2 pounds ground beef 15 to 25-percent fat (the fattier the tastier),"""23572""","beef, ground, 80% lean meat / 20% fat, raw"
40.0,1 medium red onion finely chopped,"""11282""","onions, raw"
41.0,35 fresh mint leaves chopped,"""02064""","peppermint, fresh"
42.0,1/2 pound manouri cheese crumbled or feta cheese,"""01019""","cheese, feta"
43.0,2 long baguettes each one cut into 3 equal pieces sliced open,"""28318""","bread, french or vienna, whole wheat"
44.0,1 to 3 tomatoes depending on type or size sliced,"""11529""","tomatoes, red, ripe, raw, year round average"
45.0,1 medium red onion thinly sliced,"""11282""","onions, raw"
46.0,Salt and pepper,"""02047""","salt, table"
47.0,Spanish smoked paprika optional,"""02028""","spices, paprika"
48.0,3 large garlic cloves finely chopped,"""11215""","garlic, raw"
49.0,2 tablespoons olive oil,"""04053""","oil, olive, salad or cooking"
50.0,2 tablespoons chopped fresh oregano,"""02027""","spices, oregano, dried"
51.0,2 3/4 pounds 3/4- to 1-inch-thick lamb shoulder blade chops fat trimmed deboned meat cut into 3/4-inch cubes (about 1 1/2 pounds yield),"""17035""","lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, raw"
52.0,1 teaspoon coarse kosher salt,"""02047""","salt, table"
53.0,Freshly ground black pepper,"""02030""","spices, pepper, black"
54.0,2 red bell peppers,"""11821""","peppers, sweet, red, raw"
55.0,1 large eggplant (14 to 15 ounces) peeled cut into 1-inch cubes,"""11209""","eggplant, raw"
56.0,4 tablespoons olive oil divided,"""04053""","oil, olive, salad or cooking"
57.0,3 tablespoons fresh lemon juice,"""09152""","lemon juice, raw"
58.0,1 1/2 tablespoons drained capers,"""02054""","capers, canned"
59.0,1 tablespoon chopped fresh oregano,"""02027""","spices, oregano, dried"
60.0,4 cups baby arugula (3 to 4 ounces),"""11959""","arugula, raw"
61.0,Special equipment: 6 long metal skewers,"""11026""","bamboo shoots, raw"
0.0,3 cups heavy cream,"""01053""","cream, fluid, heavy whipping"
1.0,1 cup milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
2.0,1/2 cup granulated sugar,"""19335""","sugars, granulated"
3.0,2 vanilla beans split in half lengthwise,"""02050""",vanilla extract
4.0,1 tablespoon pure vanilla extract,"""02050""",vanilla extract
5.0,4 egg yolks,"""01125""","egg, yolk, raw, fresh"
6.0,4 large boneless skinless chicken breast,"""05062""","chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"
7.0,1 cup all-purpose bleached flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
8.0,1 tablespoon seasoned salt,"""02047""","salt, table"
9.0,1 teaspoon garlic powder,"""02020""","spices, garlic powder"
10.0,1 teaspoon paprika,"""02028""","spices, paprika"
11.0,1 teaspoon black pepper,"""02030""","spices, pepper, black"
12.0,1 cup canola oil,"""04582""","oil, canola"
13.0,1 stick (8 tablespoons) unsalted butter,"""01145""","butter, without salt"
14.0,2 tablespoons minced garlic,"""11215""","garlic, raw"
15.0,One 16-ounce bottle white cooking wine,"""14106""","alcoholic beverage, wine, table, white"
16.0,1 quart heavy whipping cream,"""01053""","cream, fluid, heavy whipping"
17.0,3 lemons,"""09150""","lemons, raw, without peel"
18.0,One 8-ounce bag shredded cheese blend such as Parmesan mozzarella and provolone,"""01026""","cheese, mozzarella, whole milk"
19.0,1/2 cup sugar,"""19335""","sugars, granulated"
20.0,1 3.5-ounce jar capers drained,"""02054""","capers, canned"
21.0,One bunch fresh parsley leaves chopped,"""11297""","parsley, fresh"
22.0,Kosher salt,"""02047""","salt, table"
23.0,1 pound fettuccine,"""20420""","pasta, dry, unenriched"
24.0,2 tablespoons olive oil,"""04053""","oil, olive, salad or cooking"
25.0,Chestnuts,"""12093""","nuts, chestnuts, chinese, raw"
26.0,1 recipe pie crust recipe follows,"""18946""","pie crust, refrigerated, regular, baked"
27.0,1 large egg,"""01123""","egg, whole, raw, fresh"
28.0,1 tablespoon milk,"""01077""","milk, whole, 3.25% milkfat, with added vitamin d"
29.0,6 cups frozen blueberries,"""09055""","blueberries, frozen, sweetened"
30.0,2 teaspoons lemon juice,"""09152""","lemon juice, raw"
31.0,1/2 cup sugar (or less depending on the sweetness of the berries),"""19335""","sugars, granulated"
32.0,1/4 cup all-purpose flour,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
33.0,Pinch ground cinnamon,"""02010""","spices, cinnamon, ground"
34.0,Pinch freshly grated nutmeg,"""02025""","spices, nutmeg, ground"
35.0,1 tablespoon unsalted butter,"""01145""","butter, without salt"
36.0,1 tablespoon sugar for sprinkling,"""19335""","sugars, granulated"
37.0,1 3-3 1/2-pound boneless pork loin,"""10218""","pork, fresh, loin, tenderloin, separable lean and fat, raw"
38.0,Kosher salt freshly ground pepper,"""02047""","salt, table"
39.0,1 cup whole grain mustard,"""02046""","mustard, prepared, yellow"
40.0,1/4 cup mustard powder,"""02024""","spices, mustard seed, ground"
41.0,1/2 cup olive oil divided,"""04053""","oil, olive, salad or cooking"
42.0,2 cups farro,"""20137""","quinoa, cooked"
43.0,1/3 cup apple cider vinegar,"""02048""","vinegar, cider"
44.0,1 tablespoon caraway seeds coarsely chopped,"""02005""","spices, caraway seed"
45.0,1 teaspoon honey,"""19296""",honey
46.0,1 1/2 pounds baby carrots any color very thinly sliced lengthwise on a mandoline,"""11960""","carrots, baby, raw"
47.0,1/2 small red onion very thinly sliced into rings,"""11282""","onions, raw"
48.0,1 cup (packed) fresh flat-leaf parsley leaves,"""11297""","parsley, fresh"
0.0,3 cups ice cubes,"""14411""","beverages, water, tap, drinking"
1.0,1/4 cup lemon slices,"""09150""","lemons, raw, without peel"
2.0,1/4 cup lime slices,"""09160""","lime juice, raw"
3.0,1/4 cup orange slices,"""09203""","oranges, raw, florida"
4.0,1/4 cup pineapple chunks,"""09266""","pineapple, raw, all varieties"
5.0,1/4 cup seedless grapes,"""09132""","grapes, red or green (european type, such as thompson seedless), raw"
6.0,2 cups red wine,"""14096""","alcoholic beverage, wine, table, red"
7.0,1/2 cup peach brandy,"""14037""","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
8.0,1 cup orange juice,"""42270""","beverages, orange juice drink"
9.0,1 cup lemon/lime soda,"""14121""","beverages, carbonated, club soda"
10.0,2 tablespoons canola oil,"""04582""","oil, canola"
11.0,1/2 red onion sliced thin,"""11282""","onions, raw"
12.0,1 carrot peeled and julienned,"""11124""","carrots, raw"
13.0,1/2 cup sliced shiitake mushrooms,"""11238""","mushrooms, shiitake, raw"
14.0,1 tablespoon garlic,"""11215""","garlic, raw"
15.0,1 teaspoon sriracha or hot sauce,"""06168""","sauce, ready-to-serve, pepper or hot"
16.0,1 tablespoon soy sauce,"""16124""",soy sauce made from soy (tamari)
17.0,1/2 lime juiced,"""09160""","lime juice, raw"
18.0,1 tablespoon freshly chopped cilantro leaves,"""11165""","coriander (cilantro) leaves, raw"
19.0,1 egg white,"""01124""","egg, white, raw, fresh"
20.0,1/2 teaspoon cornstarch,"""20027""",cornstarch
21.0,10 egg roll wrappers,"""22955""","egg rolls, vegetable, frozen, prepared"
22.0,1 pound fresh yellowfin tuna cut into 1/2 by 3-inch strips,"""15127""","fish, tuna, fresh, yellowfin, raw"
23.0,Scallions for garnish,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
24.0,Orange slices for garnish,"""09203""","oranges, raw, florida"
25.0,Citrus Dipping Sauce recipe follows,"16124""",soy sauce made from soy (tamari)
26.0,3 oranges juiced,"""42270""","beverages, orange juice drink"
27.0,1 tablespoon soy sauce,"""16124""",soy sauce made from soy (tamari)
28.0,1 tablespoon honey,"""19296""",honey
29.0,2 tablespoons sliced scallion,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
30.0,Pinch red pepper flakes,"""02031""","spices, pepper, red or cayenne"
31.0,Pinch kosher salt,"""02047""","salt, table"
32.0,Pinch coarse ground black pepper,"""02030""","spices, pepper, black"
33.0,One 1-pound ball prepared pizza dough,"""18017""","biscuits, mixed grain, refrigerated dough"
34.0,All-purpose flour for rolling the dough,"""20581""","wheat flour, white, all-purpose, enriched, unbleached"
35.0,1 tablespoon olive oil,"""04053""","oil, olive, salad or cooking"
36.0,1 clove garlic finely grated,"""11215""","garlic, raw"
37.0,Kosher salt and freshly ground black pepper,"""02030""","spices, pepper, black"
38.0,1 cup ricotta cheese,"""01036""","cheese, ricotta, whole milk"
39.0,1/3 cup grated Parmesan,"""01033""","cheese, parmesan, hard"
40.0,1/2 teaspoon dried Italian seasoning,"""02031""","spices, pepper, red or cayenne"
41.0,1 1/2 cups shredded mozzarella (about 6 ounces),"""01026""","cheese, mozzarella, whole milk"
42.0,4 pitted black olives ends trimmed and each cut into 3 rounds,"""09194""","olives, ripe, canned (jumbo-super colossal)"
43.0,12 dried ghost peppers stems removed,"""11819""","peppers, hot chili, red, raw"
44.0,2 Roma tomato quartered,"""11529""","tomatoes, red, ripe, raw, year round average"
45.0,4 fresh habanero peppers stems removed,"""11979""","peppers, jalapeno, raw"
46.0,1 white onion chopped,"""11282""","onions, raw"
47.0,1/2 teaspoon salt plus more for seasoning,"""02047""","salt, table"
48.0,1/4 cup store-bought ghost pepper sauce,"""06168""","sauce, ready-to-serve, pepper or hot"
49.0,Freshly ground black pepper,"""02030""","spices, pepper, black"
50.0,2 large russet potatoes cleaned,"""11353""","potatoes, russet, flesh and skin, raw (includes foods for usda's food distribution program)"
51.0,1/4 cup sour cream,"""01056""","cream, sour, cultured"
52.0,2 green onions chopped,"""11291""","onions, spring or scallions (includes tops and bulb), raw"
53.0,2 pickled jalapenos sliced,"""11979""","peppers, jalapeno, raw"
54.0,1/2 cup cheese sauce,"""01164""","cheese sauce, prepared from recipe"
55.0,"1/4 loaf seeded rye bread torn into 1"""" pieces (about 2 cups)","""18029""","bread, french or vienna (includes sourdough)"
56.0,4 dried chiles de árbol divided,"""02031""","spices, pepper, red or cayenne"
57.0,4 tablespoons olive oil divided,"""04053""","oil, olive, salad or cooking"
58.0,Kosher salt,"""02047""","salt, table"
59.0,freshly ground pepper,"""02030""","spices, pepper, black"
60.0,1 pound broccolini larger stalks halved lengthwise,"""11969""","broccoli, chinese, cooked"
61.0,4 tablespoons finely grated Parmesan divided,"""01033""","cheese, parmesan, hard"
62.0,4 ounces white cheddar thinly sliced,"""01270""","cheese, cheddar, sharp, sliced"
0.0,4 herrings cleaned boned and heads and tails removed,"""15039""","fish, herring, atlantic, raw"
1.0,1 small onion sliced,"""11282""","onions, raw"
2.0,1 tablespoon mixed pickling sauce,"""11945""","pickle relish, sweet"
3.0,2 bay leaves,"""02004""","spices, bay leaf"
4.0,Salt and freshly ground black pepper,"""02030""","spices, pepper, black"
5.0,1/4 pint (1/2 cup) dry white wine,"""14106""","alcoholic beverage, wine, table, white"
6.0,1/4 pint (1/2 cup) good wine vinegar,"""02068""","vinegar, red wine"
7.0,2 cup all-purpose flour (spooned and leveled),,
,"""20581""","wheat flour, white, all-purpose, enriched, unbleached",
8.0,2 teaspoon pumpkin pie spice,,
,"""02035""","spices, pumpkin pie spice",
9.0,1 1/2 teaspoon baking powder,,
,"""18371""","leavening agents, baking powder, low-sodium",
10.0,1/4 teaspoon fine salt,,
,"""02047""","salt, table",
11.0,2 eggs,,
,"""01123""","egg, whole, raw, fresh",
12.0,3/4 cup pure pumpkin puree,,
,"""11424""","pumpkin, canned, without salt",
13.0,1 cup light-brown sugar packed,,
,"""19335""","sugars, granulated",
14.0,1/3 cup unsalted butter melted plus 1/4 cup room temperature,,
,"""01145""","butter, without salt",
15.0,3/4 cup heavy cream,,
,"""01053""","cream, fluid, heavy whipping",
16.0,2/3 cup unsweetened cocoa powder,,
,"""19165""","cocoa, dry powder, unsweetened",
17.0,1 3/4 cup confectioners sugar plus more for serving,"""19336""","sugars, powdered"
18.0,3 ounces blue cheese softened,"""01004""","cheese, blue"
19.0,1/8 cup butter softened,"""01001""","butter, salted"
20.0,1/4 teaspoon cayenne,"""02031""","spices, pepper, red or cayenne"
21.0,2 pounds beef tenderloin trimmed halved lengthwise and pounded to 1/2-inch thick,"""13925""","beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
22.0,Freshly ground salt to taste,"""02047""","salt, table"
23.0,Freshly ground pepper to taste,"""02030""","spices, pepper, black"
24.0,Clarified butter,"""01145""","butter, without salt"
25.0,1/4 pound Gruyere thinly sliced,"""01023""","cheese, gruyere"
26.0,8 anchovy fillets soaked in a little milk to reduce salt,"""15001""","fish, anchovy, european, raw"
27.0,1 jar red pimento sliced lengthwise,"""11943""","pimento, canned"
28.0,1 tablespoon chopped parsley,"""11297""","parsley, fresh"
29.0,Olive oil as needed,"""04053""","oil, olive, salad or cooking"
30.0,1 (4-to-5-pound) chicken cut into 8 to 10 pieces,"""05011""","chicken, broilers or fryers, meat only, raw"
31.0,Kosher salt,"""02047""","salt, table"
32.0,2 large onions sliced,"""11282""","onions, raw"
33.0,Pinch crushed red pepper flakes,"""02031""","spices, pepper, red or cayenne"
34.0,4 garlic cloves smashed and finely chopped,"""11215""","garlic, raw"
35.0,1 red pepper cut into 1/2-inch dice,"""11821""","peppers, sweet, red, raw"
36.0,1 yellow pepper cut into 1/2-inch dice,"""11951""","peppers, sweet, yellow, raw"
37.0,1 pound cremini mushrooms cleaned and sliced,"""11260""","mushrooms, white, raw"
38.0,2 cups dry white wine,"""14106""","alcoholic beverage, wine, table, white"
39.0,2 (28-ounce) cans Italian plum tomatoes passed through the food mill or pureed,"""11531""","tomatoes, red, ripe, canned, packed in tomato juice"
40.0,1 bundle thyme,"""02049""","thyme, fresh"
41.0,3 bay leaves,"""02004""","spices, bay leaf"
