,Description,NDB_NO_tags
128,3.0 whole cloves garlic,"""11215"""
129,2.0 cups white rice,"""20452"""
130,1.0 cup corn kernels cut off cob,"""11167"""
131,1.0 whole chayote squash cut into,"""11149"""
132,1.0 whole carrot cut into,"""11124"""
133,1.0 quart chicken stock,"""06172"""
134,1 teaspoon salt,"""02047"""
135,1 teaspoon black pepper,"""02030"""
136,1 teaspoon black pepper,"""02030"""
137,2.5 cups cake flour,"""20084"""
138,1.5 teaspoons baking soda,"""18372"""
139,1.0 teaspoon salt,"""02047"""
140, 0.5 sticks unsalted butter,"""01145"""
141,2.0 cups granulated sugar,"""19335"""
142,3.5 ounces dark chocolate,"""19904"""
143,1.0 teaspoon vanilla extract,"""02050"""
144,2.0 whole eggs,"""01123"""
145,1.5 cups cold water,"""14411"""
146,1 tablespoon raspberry liqueur,"""14037"""
147,0.5 tablespoon nonstick cooking spray,"""04679"""
148,0.25 cup chocolate ,"""19120"""
149,3.0 cups powdered sugar,"""19336"""
150,7.0 tablespoons hot water,"""14411"""
151,4.0 ounces dark chocolate,"""19904"""
152,2.0 teaspoons vanilla extract,"""02050"""
153,0.5 stick unsalted butter,"""01145"""
154,0.25 cup semisweet dark chocolate,"""19902"
155,2.0 cups orange juice ,"""42270"""
156,1.0 pint blackberries,"""09042"""
157,1.0 tablespoon dry mustard,"""02024"""
158,1.0 tablespoon sweet paprika,"""02028"""
159,1.0 teaspoon chili de arbol,"""11670"""
160,0.5 teaspoon ground cinnamon,"""02010"""
161,0.5 teaspoons five-spice powder,"""02031"""
162,0.5 teaspoon ground coriander,"""02013"""
163,4.0 whole duck breasts,"""05139"""
164,1 teaspoon salt,"""02047"""
165,1 teaspoon black pepper,"""02030"""
166,2 tablespoons canola oil,"""04582"""
167,2 whole peaches,"""09236"""
168,8.0 ounces goat cheese,"""01159"""
169,2.0 cups baby arugula,"""11959"""
170,0.5 cup pecans,"""12142"""
171,11.5 ounce can apricot-pineapple nectar,"""09036"""
172,0.25 cup rice vinegar,"""02068"""
173,0.25 cup dried apricots ,"""09032"""
174,1.25 pounds slender green beans,"""11253"""
175,5 ounce package mixed baby greens,"""11253"""
176,1.0 whole papaya,"""09226"""
177,3.0 tablespoons unsalted pistachios,"""12152"""
178,1.5 ounces ricotta salata,"""01036"""
179,0.333333333333 cup cracked grain bulgur,"""20012"""
180,1 teaspoon kosher salt,"""02047"""
181,1.5 cups boiling water,"""14411"""
182,0.25 cup olive oil,"""44005"""
183,0.5 whole onion,"""11282"""
184,1 teaspoon ground black pepper,"""02030"""
185,0.5 whole english cucumber,"""11205"""
186,1 whole pita ,"""18413"""
187,0.5 teaspoon ground cumin,"""02014"""
188,1 pinch ground allspice,"""02001"""
189,0.25 cup hummus,"""16158"""
190,0.25 cup plain whole-milk yogurt,"""01116"""
191,1.5 tablespoons lemon juice,"""09152"""
192,8.0 ounces ground beef,"""23572"""
193,6.0 cups baby spring greens,"""11253"""
194,0.5 cup pomegranate seeds,"""09286"""
195,4.0 whole cloves garlic,"""11215"""
196,2.0 tablespoons chili powder,"""02009"""
197,0.25 teaspoon cayenne pepper,"""02031"""
198,0.25 teaspoon ground allspice,"""02001"""
199,1 teaspoon salt,"""02047"""
200,1 teaspoon black pepper,"""02030"""
201,1 teaspoon black pepper,"""02030"""
202,1.5 cups ketchup,"""11935"""
203,0.5 cup apple cider vinegar,"""02048"""
204,0.25 cup yellow mustard,"""02046"""
205,0.25 cup molasses,"""19304"""
206,0.25 cup light brown sugar,"""19334"""
207,1.0 tablespoon worcestershire sauce,"""06971"""
208,2.0 tablespoons vegetable oil,"""04513"""
209,5 pound pork spareribs,"""10088"""
210,1 teaspoon salt,"""02047"""
211,1 teaspoon black pepper,"""02030"""
212,1 tablespoon vegetable oil spray,"""04679"""
213,0.5 cup mayonnaise,"""42138"""
214,3.0 tablespoons dijon mustard with horseradish,"""02046"""
215,2.0 tablespoons fresh lemon juice,"""09152"""
216,0.666666666667 pound unpeeled red-skinned potatoes,"""11352"""
217,2.0 whole ounce cod fillets,"""15015"""
218,2.0 tablespoons fresh parsley,"""11297"""
219,2.0 whole corn,"""11167"""
220,0.5 whole red onion,"""11282"""
221,2.0 whole green onions white,"""11291"""
222,1.5 pints cherry tomatoes,"""11529"""
223,1.0 whole avocado,"""09038"""
224,1.0 whole jalapeno,"""11979"""
225,0.25 bunch cilantro,"""11165"""
226,1.0 whole lemon juiced,"""09152"""
227,1.0 whole lime juiced,"""09160"""
228,0.25 cup extra-virgin olive oil,"""44005"""
229,1 teaspoon salt,"""02047"""
230,1 teaspoon black pepper,"""02030"""
231,1.0 cup fresh pineapple cubes,"""09266"""
232,2.0 whole limes juiced,"""09160"""
233,4.0 ounces silver tequila,"""14037"""
234,1.5 cups ice ,"""14411"""
235,1.0 tablespoon agave nectar,"""19912"""
236,1 pinch kosher salt,"""02047"""
237,1.5 pound rack of lamb,"""17314"""
238,1.0 whole garlic clove,"""11215"""
239,2.0 teaspoons rosemary,"""02063"""
240,0.125 teaspoon ground black pepper,"""02030"""
241,1.25 teaspoons kosher salt,"""02047"""
242,1.0 tablespoon white miso paste,"""16112"""
243,0.25 teaspoon smoked paprika,"""02028"""
244,5.0 tablespoons unsalted butter,"""01145"""
245,2.0 whole yukon gold potatoes,"""11362"""
246,1.0 teaspoon honey,"""19296"""
247,0.25 teaspoon ground coriander,"""02013"""
248,0.5 pound carrots,"""11124"""
249,1.0 tablespoon parsley,"""11297"""
250,0.5 cup buttermilk,"""01230"""
251,2.0 cups whole milk,"""01077"""
252,0.25 teaspoon kosher salt,"""02047"""
253,0.5 cup red onion,"""11282"""
254,2.0 tablespoons olive oil,"""44005"""
255,1.0 whole garlic clove,"""11215"""
256,1.25 whole red bell pepper,"""11821"""
257,0.5 teaspoon chili powder,"""02009"""
258,0.25 teaspoon ground cumin,"""02014"""
259,0.125 teaspoon cayenne,"""02031"""
260,0.75 pound ground turkey,"""05665"""
261,14 ounce plum tomatoes in sauce,"""11531"""
262,1.0 pinch dried hot red pepper,"""02031"""
263,0.25 pound rigatoni,"""20120"""
264,0.5 cup monterey jack,"""01025"""
265,1.5 pounds boneless beef sirloin,"""13929"""
266,1.0 tablespoon soy sauce,"""16124"""
267,2.0 tablespoons sesame oil,"""04058"""
268,1.0 tablespoon rice wine,"""02068"""
269,1.0 whole egg white lightly beaten,"""01123"""
270,0.5 teaspoon salt,"""02047"""
271,2.0 tablespoons peanut,"""16087"""
272,4.0 whole dried red chiles split,"""11962"""
273,1.0 tablespoon garlic,"""11215"""
274,0.5 tablespoon ginger,"""11216"""
275,2.5 whole scallions cut in inch pieces,"""11291"""
276,1.0 whole red bell pepper cut in pieces,"""11821"""
277,2.0 tablespoons soy sauce,"""16124"""
278,3.0 tablespoons rice wine,"""02068"""
279,2.0 tablespoons chinese black vinegar,"""02053"""
280,1.0 teaspoon sugar,"""19335"""
281,1.0 cup chicken broth,"""06194"""
282,1.0 tablespoon s water,"""14411"""
283,0.333333333333 cup roasted peanuts,"""16087"""
284,4.0 whole filets mignons,"""23290"""
285,1.0 tablespoon lime juice,"""09160"""
286,2.0 tablespoons extra-virgin olive oil,"""44005"""
287,1 teaspoon salt,"""02047"""
288,1 teaspoon black pepper,"""02030"""
289,4.0 cups watercress sprigs,"""11591"""
290,0.5 cup cilantro leaves,"""11165"""
291,0.5 cup mint leaves,"""02064"""
292,3.0 tablespoons vegetable oil,"""04513"""
293,0.5 whole lime,"""09159"""
294,4.0 ounces spaghetti,"""20120"""
295,2.0 tablespoons olive oil,"""44005"""
296,2.0 whole cloves garlic,"""11215"""
297,1 cup olives,"""09194"""
298,1 teaspoon salt,"""02047"""
299,1 teaspoon black pepper,"""02030"""
300,1 teaspoon black pepper,"""02030"""
301,1.0 teaspoon parsley,"""11297"""
302,4.0 ounces chicken broth,"""06194"""
303,4.0 whole jasmine green tea bags,"""14278"""
304,1 teaspoon kosher salt,"""02047"""
305,2.0 whole ounce boneless skinless chicken breasts cut into bite size cubes,"""05062"""
306,0.333333333333 cup red onion,"""11282"""
307,2.0 tablespoons fat-free plain greek yogurt,"""01287"""
308,3.0 tablespoons mayonnaise,"""42138"""
309,2.0 tablespoons fresh basil,"""02044"""
310,1.0 tablespoon fresh tarragon,"""02041"""
311,1.5 teaspoons white balsamic vinegar,"""02069"""
312,2.0 tablespoons natural almonds,"""12061"""
313,8.0 slices whole wheat bread,"""18064"""
314,1.0 cup packed mixed baby salad greens,"""11253"""
315,0.25 cup raspberry jam,"""19297"""
316,6.0 sprigs fresh basil,"""02044"""
317,2.0 whole granny smith apples cored skin on,"""09502"""
318,1.0 whole ripe hass avocado pitted,"""09038"""
319,0.25 cup olive oil,"""44005"""
320,6.0 whole garlic cloves,"""11215"""
321,2.0 tablespoons dried tarragon,"""02041"""
322,1.5 pound chicken,"""05011"""
323,1.0 tablespoon kosher salt,"""02047"""
324,1.0 whole chicken,"""05011"""
325,0.25 cup unsalted butter,"""01145"""
326,1.0 cup fish stock,"""06174"""
327,0.25 cup dry sherry,"""14536"""
328,0.25 cup lowsodium soy sauce,"""16424"""
329,3.0 stalks fresh lemongrass,"""06625"""
330,2.0 tablespoons fresh ginger,"""11216"""
331,1.0 whole chili pepper,"""02009"""
332,0.25 cup scallions,"""11291"""
333,12.0 whole fresh shiitake mushroom caps,"""11238"""
334,1.0 whole bok choy,"""11116"""
335,0.25 cup unsweetened coconut milk,"""12117"""
336,1.0 teaspoon thai red curry paste,"""06624"""
337,1.5 pound whole sea bass,"""15091"""
338,1 cup basmati rice,"""20037"""
339,2.0 tablespoons extra-virgin olive oil,"""44005"""
340,2.0 cups onions,"""11282"""
341,4.0 whole garlic cloves,"""11215"""
342,1.0 tablespoon paprika,"""02028"""
343,1 ounce fireroasted tomatoes,"""11529"""
344,2.0 teaspoons fresh rosemary,"""02063"""
345,0.25 teaspoon dried red pepper,"""02031"""
346,1.0 cup dry white wine,"""14106"""
347,3.0 cups water,"""14411"""
348,8.0 ounces fingerling potatoes,"""11354"""
349,1.0 pound shrimp,"""15270"""
350,0.25 teaspoon fennel seeds,"""02018"""
351,6.0 whole pita bread ,"""18041"""
352,1.0 teaspoon extra virgin olive oil,"""04708"""
353,0.125 teaspoon coarse salt,"""02047"""
354,2.0 whole chicken ,"""05011"""
355,1 teaspoon salt,"""02047"""
356,1 teaspoon black pepper,"""02030"""
357,3.0 tablespoons olive oil,"""44005"""
358,3.0 tablespoons whole onion,"""11294"""
359,1.0 tablespoon garlic,"""11215"""
360,0.25 cup white wine,"""14106"""
361,1.0 cup apple balsamic vinegar,"""02069"""
362,3.0 cups tomato,"""11529"""
363,3.0 tablespoons butter,"""01001"""
364,9.0 whole artichokes,"""11007"""
365,3.0 whole meyer lemons,"""09150"""
366,2.5 cups white wine,"""14106"""
367,2.5 cups water,"""14411"""
368,1.0 cup olive oil,"""44005"""
369,3.0 whole garlic cloves,"""11215"""
370,1.0 teaspoon coriander seed,"""02013"""
371,2.0 whole bay leaves,"""02004"""
372,0.5 teaspoon whole black peppercorns,"""02030"""
373,2.0 teaspoons green garlic,"""11215"""
374,3.0 cups heavy cream,"""01053"""
375,6.0 ounces pennette,"""20120"""
376,9.0 ounces goat cheese,"""01159"""
377,1.0 teaspoon lemon thyme,"""02049"""
378,1.0 pinch ground pink peppercorns,"""02030"""
379,1 tablespoon kosher salt,"""02047"""
380,1 tablespoon black pepper,"""02030"""
381,0.75 cup water,"""14411"""
382,1.0 whole loaf rustic bread,"""18033"""
383,3.0 tablespoons pure olive oil,"""04708"""
384,3.0 tablespoons italian parsley leaves,"""11297"""
385,3.0 tablespoons parmesan,"""01033"""
386,1 tablespoon kosher salt,"""02047"""
387,1 tablespoon ground black pepper,"""02030"""
388,2.0 whole bunches arugula,"""11959"""
389,1 tablespoon olive oil,"""44005"""
390,0.5 whole meyer lemon,"""09152"""
391,1 tablespoon kosher salt,"""02047"""
392,1 tablespoon ground black pepper,"""02030"""
393,0.75 cup balsamic vinegar,"""02069"""
394,0.5 cup corn oil,"""42289"""
395,0.25 cup worcestershire sauce,"""06971"""
396,2.0 whole shallots,"""11677"""
397,2.0 whole garlic cloves,"""11215"""
398,1.0 tablespoon cayenne pepper,"""02031"""
399,1.0 tablespoon fresh cilantro,"""11165"""
400,1.0 teaspoon ground black pepper,"""02030"""
401,1.0 tablespoon kosher salt,"""02047"""
402,4.0 pounds skirt steak,"""23217"""
403,3.0 whole cucumbers,"""11205"""
404,1.5 cups plain yogurt,"""01116"""
405,0.25 cup sour cream,"""01056"""
406,0.5 teaspoon english-style dry mustard,"""02024"""
407,1 teaspoon salt,"""02047"""
408,1 teaspoon black pepper,"""02030"""
409,1 teaspoon black pepper,"""02030"""
410,0.25 cup fresh dill,"""02045"""
411,5.0 whole eggs,"""01123"""
412,1.0 cup half and half cream,"""01049"""
413,1.0 tablespoon sugar,"""19335"""
414,1.0 teaspoon ground cinnamon,"""02010"""
415,0.125 teaspoon nutmeg,"""02025"""
416,4.0 whole croissants,"""18239"""
417,1.0 tablespoon unsalted butter,"""01145"""
418,4 tablespoons maple syrup,"""19353"""
419,1 cup fruit compote,"""19920"""
420,1.0 pound calamari tentacles ,"""15166"""
421,2.0 cups buttermilk,"""01230"""
422,3.0 tablespoons white wine vinegar,"""02053"""
423,2.0 whole cloves garlic,"""11215"""
424,1.0 whole lemon juice,"""09152"""
425,1.0 cup canola oil,"""04582"""
426,0.5 teaspoon sugar,"""19335"""
427,0.25 cup fresh parsley leaves,"""11297"""
428,2.0 tablespoons fresh cilantro leaves,"""11165"""
429,1.0 tablespoon roughly fresh oregano leaves,"""02027"""
430,2.0 whole scallions roughly,"""11291"""
431,1 teaspoon salt,"""02047"""
432,1 teaspoon black pepper,"""02030"""
433,1 teaspoon black pepper,"""02030"""
434,2 whole celery rib,"""11143"""
435,1.0 whole carrot unpeeled,"""11124"""
436,1.0 whole onion skin on halved,"""11282"""
437,4.0 sprigs fresh parsley,"""11297"""
438,4.0 sprigs fresh lemon thyme,"""02049"""
439,2.0 whole bay leaves,"""02004"""
440,1.0 whole dried red chile,"""02031"""
441,1.0 whole lemon,"""09150"""
442,0.5 teaspoon black peppercorns,"""02030"""
443,1 pound shrimp ,"""15270"""
444,1 pound clams ,"""15157"""
445,1 whole tomato,"""11529"""
446,1 teaspoon salt,"""02047"""
447,1 teaspoon black pepper,"""02030"""
448,1 teaspoon black pepper,"""02030"""
449,8.0 ounces arugula,"""11959"""
450,1.0 whole fennel bulb fronds reserved,"""11957"""
451,1 teaspoon salt,"""02047"""
452,1 teaspoon black pepper,"""02030"""
453,1 teaspoon black pepper,"""02030"""
454,1.0 whole plum tomato,"""11529"""
455,2.0 whole scallions on the bias,"""11291"""
456,1.0 whole lemon cut into wedges,"""09150"""
457,0.25 cup olive oil,"""44005"""
458,3.0 whole cloves garlic,"""11215"""
459,1.0 whole onion,"""11282"""
460,0.25 teaspoon dried rosemary,"""02036"""
461,0.5 teaspoon dried parsley,"""02029"""
462,0.75 teaspoon dried oregano,"""02027"""
463,0.75 teaspoon salt,"""02047"""
464,1.0 whole dried hot red pepper,"""02031"""
465,4.0 whole chicken thighs,"""05674"""
466,2.0 whole chicken breasts,"""05062"""
467,2 whole chicken wings,"""05100"""
468,0.5 cup red-wine vinegar,"""02068"""
469,6.0 cups whole tomatoes,"""11529"""
470,0.25 cup basil,"""02044"""
471,0.25 cup white wine,"""14106"""
472,0.5 cup gaeta olives,"""09194"""
473,6.0 whole red peppers,"""11821"""
474,4.0 ounces oyster mushrooms ,"""11987"""
475,1.0 pound campanelle,"""20420"""
476,3.0 cups chicken stock,"""06172"""
477,3.0 cups water,"""14411"""
478,1.0 tablespoon kosher salt plus more for seasoning,"""02047"""
479,1.0 pound fregola pasta,"""20420"""
480,0.25 tablespoons olive oil,"""44005"""
481,1.0 whole onion,"""11282"""
482,1 tablespoon black pepper,"""02030"""
483,2.0 whole garlic cloves,"""11215"""
484,1.0 cup dry marsala wine,"""14096"""
485,1.0 cup grape,"""09132"""
486,12.0 whole little neck clams,"""15157"""
487,12.0 whole mussels,"""15164"""
488,0.5 cup fresh flat-leaf parsley,"""11297"""
489,0.5 cup fresh basil leaves,"""02044"""
490,0.5 cup fresh cilantro leaves,"""11165"""
491,0.75 cup coconut milk,"""12117"""
492,2.0 tablespoons fish sauce,"""06179"""
493,2.0 tablespoons soy sauce,"""16124"""
494,0.5 teaspoon ground coriander,"""02013"""
495,0.5 teaspoon ground cumin,"""02014"""
496,0.5 teaspoon raw sugar,"""19335"""
497,4.0 whole cloves garlic,"""11215"""
498,1.0 whole green thai chile,"""11670"""
499,1.0 whole inch knob fresh ginger,"""11216"""
500,1.0 stalk lemongrass tough outer layers,"""11972"""
501,1.0 whole lime juice,"""09160"""
502,1.0 whole shallot halved,"""11677"""
503,1 teaspoon cracked black pepper,"""02030"""
504,2.0 tablespoons canola oil,"""04582"""
505,4.0 cups organic chicken,"""05062"""
506,1.0 whole yellow bell pepper,"""11951"""
507,1.0 whole chinese eggplant,"""11209"""
508,1.0 pound buckwheat udon noodles,"""20117"""
509,1 teaspoon salt,"""02047"""
510,1.0 tablespoon extra virgin olive oil,"""04708"""
511,1.0 tablespoon unsalted butter,"""01145"""
512,2.0 whole cloves garlic,"""11215"""
513,1 ounce kale,"""11233"""
514,1 tablespoon kosher salt,"""02047"""
515,1.0 whole sheet frozen puff pastry,"""18337"""
516,5.0 ounces goat cheese,"""01159"""
517,0.5 cup parmesan cheese ,"""01033"""
518,4.0 whole eggs,"""01123"""
519,1.0 cup heavy cream,"""01053"""
520,0.25 teaspoon ground nutmeg,"""02025"""
521,1 tablespoon ground pepper,"""02030"""
522,1.5 teaspoons soy sauce,"""16124"""
523,1.5 tablespoons white wine vinegar,"""02053"""
524,0.5 teaspoon sugar,"""19335"""
525,2.0 tablespoons olive oil,"""44005"""
526,1.0 tablespoon sesame oil,"""04058"""
527,3.0 cups napa cabbage,"""11114"""
528,1.0 whole carrot shredded,"""11124"""
529,1.0 whole scallion,"""11291"""
530,0.5 pound sea scallops,"""15172"""
531,1.25 cups cake flour,"""20084"""
532,0.5 teaspoon baking soda,"""18372"""
533,0.25 teaspoon baking powder,"""18371"""
534,0.25 teaspoon salt,"""02047"""
535,8.0 tablespoons unsalted butter,"""01145"""
536,0.5 tablespoons sugar,"""19335"""
537,1.0 whole egg yolk,"""01125"""
538,1.0 whole egg,"""01123"""
539,1.0 teaspoon vanilla extract,"""02050"""
540,0.5 cup sour cream,"""01056"""
541,36.0 whole red licorice,"""19112"""
542,12.0 whole black licorice whips,"""19112"""
543,1.0 whole tube black icing,"""19375"""
544,2.0 tablespoons flour,"""20581"""
545,1.0 cup milk,"""01077"""
546,1.0 cup unsalted butter,"""01145"""
547,1.0 cup confectioners sugar,"""19335"""
548,1.0 teaspoon vanilla extract,"""02050"""
549,4.0 pounds yukon gold potatoes,"""11362"""
550,1.5 cups whole milk,"""01077"""
551,1 stick unsalted butter,"""01145"""
552,1.0 teaspoon salt,"""02047"""
553,0.5 teaspoon black pepper,"""02030"""
554,3.0 pounds peaches,"""09236"""
555,2.0 tablespoons cornstarch,"""20027"""
556,1.5 tablespoons all-purpose flour,"""20581"""
557,2 teaspoons fresh lemon juice,"""09152"""
558,0.5 teaspoon cinnamon,"""02010"""
559,0.25 teaspoon salt,"""02047"""
560,0.5 tablespoon sugar,"""19335"""
561,0.25 cup honey,"""19296"""
562,2.0 tablespoons water,"""14411"""
563,3.0 tablespoons unsalted butter,"""01145"""
564,1 whole all-butter pastry dough ,"""18014"""
565,1.0 tablespoon whole milk,"""01077"""
566,1.0 tablespoons durum wheat flour,"""20581"""
567,1.0 cup semolina flour ,"""20581"""
568,1.0 cup green onions,"""11291"""
569,0.5 cup teriyaki marinade,"""06112"""
570,0.5 cup reisling wine,"""14106"""
571,1.0 tablespoon dijon mustard,"""02046"""
572,1.0 tablespoon ginger,"""11216"""
573,1.0 tablespoon garlic,"""11215"""
574,0.5 teaspoon red chili flakes,"""02031"""
575,4.0 whole alaska salmon steaks,"""15238"""
576,0.5 pound shrimp,"""15270"""
577,2.0 teaspoons sea salt,"""02047"""
578,0.25 cup extra virgin olive oil,"""04708"""
579,2.0 whole cloves garlic,"""11215"""
580,1 pinch dried red-pepper flakes,"""02031"""
581,0.25 teaspoon salt,"""02047"""
582,2.0 tablespoons dry white wine,"""14106"""
583,1.0 tablespoon fresh italian parsley,"""11297"""
584,5.5 cups flour,"""20581"""
585,1.0 tablespoon ginger,"""11216"""
586,1.0 teaspoon baking soda,"""18372"""
587,1.0 cup vegetable shortening,"""04615"""
588,1.0 cup granulated sugar,"""19335"""
589,1.25 cups dark molasses,"""19304"""
590,2.0 whole eggs,"""01123"""
591,14 oz vanilla frosting ,"""19230"""
592,.5 tablespoon vegetable oil spray,"""04679"""
593,2.25 cups all purpose flour,"""20581"""
594,0.25 cup unsweetened cocoa powder,"""19165"""
595,1.0 teaspoon baking soda,"""18372"""
596,0.5 teaspoon salt,"""02047"""
597,0.75 cup sugar,"""19335"""
598,0.5 cup honey,"""19296"""
599,2.0 whole eggs,"""01123"""
600,1.0 teaspoon vanilla extract,"""02050"""
601,0.75 cup vegetable oil,"""04513"""
602,1.5 cups buttermilk,"""01230"""
603,1.0 tablespoon water,"""14411"""
604,1.0 teaspoon unflavored gelatin,"""19177"""
605,1.25 cups heavy whipping cream,"""01053"""
606,0.5 cup sour cream,"""01056"""
607,3.0 tablespoons honey,"""19296"""
608,0.5 cup bittersweet chocolate ,"""19904"""
609,10.0 ounces bittersweet chocolate,"""19904"""
610,1.0 cup heavy whipping cream,"""01053"""
611,0.5 cup honey,"""19296"""
612,1.0 cup pecans,"""12142"""
613,0.25 cup extra virgin olive oil,"""04708"""
614,0.5 whole spanish onion,"""11294"""
615,1.0 whole raw pizza dough,"""18014"""
616,4.0 whole garlic cloves,"""11215"""
617,1.0 whole bay leaf,"""02004"""
618,1 teaspoon chili flakes,"""02031"""
619,1.25 cups dry white wine,"""14106"""
620,6 pounds whole manila,"""15157"""
