,JSON_ValueString,grams
306,4.0 whole poblano chiles,24.0
307,6.0 whole poblanos,36.0
308,4.0 whole pork loin chops,450.0
309,3.0 whole potatoes,450.0
310,12.0 whole potsticker skins,96.0
311,8.0 whole radishes,160.0
312,1.25 whole red bell pepper,150.0
313,1.0 whole red bell pepper,120.0
314,0.5 whole red bell pepper,50.0
315,1.0 whole red bell pepper,120.0
316,0.5 whole red cabbage,420.0
317,0.25 whole red onion,27.0
318,1.0 whole red onion,110.0
319,1.0 whole red onion,110.0
320,0.5 whole red onion,55.0
321,1.0 whole red onion,110.0
322,1.0 whole red onion,110.0
323,0.5 whole red pepper,60.0
324,1.0 whole roma tomato,100.0
325,2.0 whole roma tomatoes,200.0
326,4.0 whole roma tomatoes,400.0
327,1.0 whole romaine lettuce,626.0
328,0.5 whole romaine lettuce,318.0
329,0.25 whole romaine lettuce,159.0
330,2.0 whole salmon steaks,113.0
331,1.0 whole scallion,25.0
332,2.0 whole scallions,50.0
333,4.0 whole scallions,100.0
334,1.0 whole scallions,25.0
335,4.0 whole scallions,100.0
336,2.0 whole scallions,50.0
337,3.0 whole scallions,150.0
338,4.0 whole scallions,200.0
339,3.0 whole scallions,150.0
340,1.0 whole serrano chile,7.0
341,1.0 whole shallot,42.0
342,1.0 whole shallot,42.0
343,1 whole shallot,42.0
344,1.0 whole shallot,42.0
345,1.0 whole shallot,42.0
346,1.0 whole shallot optional,42.0
347,4.0 whole shallots,168.0
348,2.0 whole shallots,84.0
349,2.0 whole shallots,84.0
350,4.0 whole shallots,168.0
351,2.0 whole shallots,84.0
352,5.0 whole sheets phyllo dough,95.0
353,2.0 whole sheets puff pastry,490.0
354,1.25 whole skinless chicken breast,200.0
355,4.0 whole skinless dover,448.0
356,4.0 whole soft hoagie buns lightly toasted,400.0
357,2.0 whole spanish onions,220.0
358,12.0 whole spears asparagus,120.0
359,2.0 whole star anise,1.0
360,1.0 whole sweet potato,114.0
361,1.0 whole thai chile,6.0
362,36 whole threads saffron,0.1
363,1.0 whole thyme,3.0
364,15.0 whole tiare flowers,30.0
365,3.0 whole to green tomatoes,450.0
366,2.0 whole tomatillos,42.0
367,1.0 whole tomato,150.0
368,1 whole tomato,150.0
369,1.0 whole tomato,150.0
370,2.0 whole tomatoes,300.0
371,2.0 whole tomatoes,300.0
372,2.0 whole tomatoes,300.0
373,4.0 whole tomatoes,600.0
374,24 whole tortilla chips,80.0
375,0.5 whole vanilla bean,2.5
376,0.5 whole vanilla bean,2.5
377,1.0 whole vanilla bean,5.0
378,1.0 whole venison tenderloin,113.0
379,0.5 whole white onion,55.0
380,1.0 whole white onion,110.0
381,1.0 whole white onion,110.0
382,1.0 whole whole boneless chicken breast with skin,172.0
383,4.0 whole whole brandied apricots,160.0
384,4.0 whole whole-grain wrap,180.0
385,40.0 whole wonton wrappers,320.0
386,24.0 whole wonton wrappers,192.0
387,1.0 whole yellow bell pepper,120.0
388,1.0 whole yellow onion,110.0
389,1.0 whole yellow twisted licorice,40.0
390,4.0 whole zucchini,720.0
391,0.5 whole zucchini,90.0
392,1.0 whole zucchini,180.0
393,1.5 cups panko bread crumbs,162.0
394,1 tablespoon parmesan cheese,5.0
395,8.0 slices fresh mozzarella,181.437
396,1.0 tablespoon anchovy paste,4.0
397,1 whole all-butter pastry dough,175.0
398,3.0 whole allspice berries,2.0
399,4.0 tablespoons almond butter,56.0
400,1.0 teaspoon amaretto,5.0
401,3.0 ounces american cheese,84.0
402,0.5 cup ancho chile paste,160.0
403,5 dried ancho chiles,70.0
404,12 ounce artichokes,340.0
405,8.0 whole artichokes,1200.0
406,0.25 cup arugala,5.0
407,4.0 cups arugula,84.0
408,0.25 pound arugula,113.0
409,0.5 whole avocado,75.0
410,4.0 whole avocadoes,600.0
411,6.0 cups baby arugula,126.0
412,1.0 cup baby arugula,21.0
413,0.333333333333 pound baby arugula,150.0
414,1.0 cup baby carrots,50.0
415,1.0 cup bacon,225.0
416,1.0 whole bag fresh salad mix,680.0
417,0.5 whole bag frozen vegetable stir fry mix,284.0
418,4.0 whole balls of fresh mozzarella di bufala,40.0
419,4.0 whole bananas,480.0
420,4.0 whole bananas,480.0
421,2.0 whole bananas,240.0
422,1.0 whole barlett pear,110.0
423,6.0 whole basil leaves,6.0
424,4.0 whole bay leaves,4.0
425,1.0 cup bbq chips,34.0
426,2.0 quarts beef stock,1920.0
427,3 whole beets,166.0
428,1.0 green bell pepper,120.0
429,1.0 whole bell pepper,120.0
430,2.0 cans black beans,800.0
431,2.0 cans black beans,800.0
432,1.5 cups black olives,230.0
433,1.0 cup black olives,155.0
434,12.0 whole black tea bags,216.0
435,4.0 whole black teabags,72.0
436,1.0 whole block ice,3.0
437,2.0 teaspoons blue caracao,10.0
438,0.25 cup blue cheese,29.0
439,2 cups blue cheese,230.0
440,6.0 cups blue frosting,100.0
441,1 pound boneless beef rib eye steak,453.0
442,4.0 whole boneless chicken breast with no skin,600.0
443,8.0 whole boneless skinless chicken breast halves,1200.0
444,2.0 tablespoons bourbon,30.0
445,2.0 tablespoons bourbon,30.0
446,2.0 tablespoons brandy,30.0
447,2.0 tablespoons brandy,30.0
448,1.0 tablespoon brandy,15.0
449,1.0 tablespoon brandy,15.0
450,3.0 cups bread,105.0
451,12 ounce bread cheese,340.0
452,2.0 tablespoons breadcrumbs,9.0
453,1 cup breadcrumbs,35.0
454,12.0 slices brioche,600.0
455,1.0 whole broccoli,608.0
456,1 cup brownies,240.0
457,1.0 whole bunch dill,42.0
458,1.0 whole bunch fresh basil,50.0
459,1.0 whole bunch mint,50.0
460,1.0 whole bunch scallions,200.0
461,1 pound bunuelo dough,453.0
462,3.0 tablespoons butter,42.0
463,4.0 tablespoons butter,56.0
464,4.0 tablespoons butter,56.0
465,1.0 tablespoon butter,14.0
466,4.0 tablespoon butter,56.0
467,1.0 tablespoon butter,14.0
468,3.0 tablespoons butter,42.0
469,1.0 tablespoon butter,14.0
470,2.0 tablespoons butter,28.0
471,2.0 tablespoons butter,28.0
472,3.0 tablespoons butter,42.0
473,4.0 tablespoons butter,56.0
474,1.0 tablespoon butter,14.0
475,4.0 tablespoons butter,56.0
476,1.0 tablespoon butter,14.0
477,3.0 tablespoons butter,42.0
478,4.0 tablespoon butter,56.0
479,0.5 cup butter,113.0
480,1 tablespoon butter,14.0
481,0.5 stick butter,56.0
482,2.0 tablespoons butter,28.0
483,2.0 tablespoons butter,28.0
484,1 tablespoon butter,14.0
485,2.0 tbs. butter,28.0
486,1.0 stick butter,113.0
487,2.0 tablespoons butter,28.0
488,2.0 tablespoons butter,28.0
489,4.0 ounces butter,56.0
490,1.0 tablespoon butter,14.0
491,3.0 tablespoons butter,42.0
492,2 tablespoon butter,28.0
493,2.0 tablespoons butter,28.0
494,2.0 tablespoons butter,28.0
495,0.25 cup butter,56.0
496,3.5 pound cake,1587.5
497,0.5 pound cake crumbs,227.0
498,2.0 tablespoons calvados,28.0
499,10 ounce canned artichoke hearts,280.0
500,14.0 ounces canned artichoke hearts,400.0
501,0.5 whole canned chipotle,110.0
502,0.5 whole canned chipotle,110.0
503,0.5 tablespoon canned chipotle chiles in adobo,8.0
504,2.0 teaspoons canned chipotle chilies,10.0
505,1 whole caramel dessert sauce,28.0
506,1.0 whole carrot,120.0
507,1.0 whole carrot shredded,120.0
508,2.0 whole carrots,240.0
509,2.0 whole carrots,240.0
510,4.0 whole carrots,480.0
511,2.0 whole carrots,240.0
512,2.0 whole carrots,240.0
513,2.0 whole carrots,240.0
514,2.0 whole carrots,240.0
515,2.0 whole carrots,240.0
516,2.0 stalks celery,100.0
517,2.0 ribs celery,17.0
518,4.0 ribs celery,34.0
519,2.0 stalks celery,100.0
520,3.0 stalks celery,150.0
521,2 ounces cheddar cheese,56.0
522,1.0 pint cherry,350.0
523,12.0 whole cherry tomatoes,120.0
524,1.0 tablespoon chia seeds,14.0
525,6.0 pounded chicken breast,2721.5
526,3.0 cups chicken breast,420.0
527,4.0 whole chicken breast no skin,600.0
528,4 whole chicken legs,176.0
529,1.0 gallon chicken stock,3840.0
530,24.0 whole chicken wings,504.0
531,0.5 teaspoon chile de arbol,3.0
532,0.666666666667 cup chinese barbecued pork,180.0
533,1.0 tablespoon chipotle peppers,15.0
534,1.0 whole chives,9.0
535,12 oz chocolate,340.0
536,8.0 ounces chocolate,226.0
537,0.5 cup chocolate,110.0
538,0.25 cup chocolate,55.0
539,1.0 cup chocolate chips,220.0
540,0.333333333333 cup chocolate chips,74.0
541,1.0 whole chunk parmigiano reggiano,220.0
542,3.0 stick cinnamon,96.0
543,1 whole cinnamon stick,32.0
544,4.0 tablespoons clarified butter,60.0
545,2 tablespoon clarified butter,30.0
546,6.0 whole cloves,1.5
547,6 whole cloves garlic,42.0
548,4.0 whole cloves of garlic,28.0
549,2.0 quarts club soda,1920.0
550,1.0 teaspoon coffee liqueur,15.0
551,1.0 tablespoon coffee-flavored liqueur,15.0
552,1.0 whole container nutella,400.0
553,1 cup cookies,120.0
554,6.0 whole corn,360.0
555,1.0 whole corn,60.0
556,0.5 cups cornichons,80.0
557,2.0 slices country loaf bread,100.0
558,1.0 quart cream,800.0
559,1 cups croutons,32.0
560,1.0 whole cucumber,300.0
561,0.333333333333 whole cup cocoa powder,42.0
562,0.5 whole cup egg whites,120.0
563,0.5 whole cup sugar,100.0
564,1 cup dark 70 percent cocoa chocolate,220.0
565,1.0 cup dark chocolate,220.0
566,7.0 tablespoons dark rum,105.0
567,1.0 tablespoon dark rum,105.0
568,1.0 cup dates,175.0
569,0.5 pound deli-sliced roast beef,227.0
570,12.0 whole dried apricot,80.0
571,0.5 cup dried bonito shavings,6.0
572,0.25 cup dried dates,44.0
573,1.0 whole dried kombu,30.0
574,0.25 cup dried mushrooms,18.0
575,1.0 ounce dried porcini mushrooms,28.25
576,1.0 teaspoon dried red pepper flakes,5.0
577,1 pinch dried red-pepper flakes,0.25
578,2.0 teaspoons dry sherry,30.0
579,4.0 tablespoons dry sherry,60.0
580,1.0 tablespoon dry white wine,15.0
581,2.0 tablespoons dry white wine,30.0
582,2.0 tablespoons dry white wine,30.0
583,1.75 whole duck breast,280.0
584,30.0 whole dumpling wrappers,240.0
585,4.5 teaspoons earl grey tea leaves,3.0
586,3.0 whole ears of corn,189.0
587,1.0 whole egg beaten,44.0
588,1.0 whole egg white,30.0
589,1.0 whole egg white,30.0
590,4.0 whole egg whites,120.0
591,4.0 whole egg whites,120.0
592,3.0 whole egg whites,90.0
593,4.0 whole egg whites,120.0
594,4.0 whole egg whites,120.0
595,3.0 whole egg yolks,42.0
596,3.0 whole egg yolks,42.0
597,3.0 whole egg yolks,42.0
598,6.0 whole egg yolks,84.0
599,2.0 whole eggplants,1080.0
600,8.0 whole eggs,352.0
601,8.0 whole eggs,352.0
602,7.0 whole eight inch corn tortillas,280.0
603,2.0 whole english cucumbers,400.0
604,nan user-defined evoo for liberal drizzling,15.0
605,nan user-defined extra-virgin olive oil,15.0
606,1.0 tablespoon fat-free plain greek yogurt,31.0
607,1.0 whole fennel bulb,234.0
608,12.5 whole fingerling potatoes,625.0
609,12.0 whole flour,1440.0
610,0.5 whole french baguette cubed,125.0
611,0.5 whole french bread,125.0
612,2.0 whole fresh bananas frozen,480.0
613,2.0 teaspoons fresh basil,1.0
614,3.0 tablespoons fresh basil,6.0
615,2.0 handfuls fresh basil,25.0
616,1.0 tablespoon fresh basil,2.0
617,0.25 cup fresh basil leaves,8.0
618,3.0 whole fresh bay leaves,3.0
619,1.0 cup fresh bread,35.0
620,0.5 cup fresh bread crumbs,18.0
621,1.0 teaspoon fresh dill,0.5
622,2.0 tablespoons fresh dill,3.0
623,0.25 cup fresh dill,6.0
624,2.0 tablespoons fresh dill,3.0
625,0.25 cup fresh dill,6.0
626,1.0 tablespoon fresh dill,1.5
627,2.0 teaspoons fresh mint,1.0
628,2.0 tablespoons fresh mint,2.4
629,0.5 cup fresh mint leaves,10.0
630,0.666666666667 cup fresh parmesan,66.0
631,4.0 sprigs fresh rosemary,4.0
632,1.0 whole fresh rosemary,5.0
633,8.0 whole fresh sage,14.0
634,0.5 pt. fresh strawberries,170.0
635,3.0 sprigs fresh thyme,3.0
636,1.0 whole fresh thyme,3.0
637,1.0 whole fresh thyme,3.0
638,1.5 cups fromage blanc,345.0
639,2.0 cups fromage blanc,460.0
640,5 teaspoons frozen pineapple-orange juice concentrate,28.0
641,11 oz frozen ripe plantains,308.0
642,16 ounce frozen sweet white corn,450.0
643,4.0 whole garlic cloves,28.0
644,4.0 whole garlic cloves,28.0
645,2.0 teaspoons gherkins,10.0
646,2 slices ginger,28.0
647,0.5 cup glass noodles,80.0
648,1.0 cup goat cheese,115.0
649,150.0 grams goat cheese,150.0
650,2.0 whole golden delicious apples,120.0
651,12 whole graham cracker,180.0
652,4.0 whole granny smith apples,240.0
653,30.0 whole grape leaves,120.0
654,4.0 pints grape tomatoes,1200.0
655,7.0 ounces greek yogurt,200.0
656,1.0 whole green onion,5.0
657,10.0 whole green onions,50.0
658,1.0 whole green pepper,42.0
659,1.0 quart green tea,960.0
660,1 pinch ground cinnamon,0.25
661,1.0 pinch ground cinnamon,0.25
662,0.75 cup ground graham crackers,64.0
663,3.0 tablespoons ground instant tapioca,24.0
664,nan user-defined ground thyme,10.0
665,0.75 cup gruyere,75.0
666,1.0 cup gruyere,100.0
667,1.0 cup ham,150.0
668,1.0 whole hamburger bun,42.0
669,4.0 whole hard boiled eggs,176.0
670,1.0 whole head cauliflower,840.0
671,2.0 whole heads endive,170.0
672,2.0 whole heads garlic,80.0
673,1.0 whole heirloom tomato,212.0
674,7.0 tablespoons hot water,105.0
675,1 cup ice cream,200.0
676,4.0 tablespoons ice water,60.0
677,2.0 ounce instant chocolate pudding mix,56.0
678,0.5 cup italian bread crumbs,18.0
679,2.0 tablespoons italian grappa,30.0
680,1.0 pound italian sausage,453.0
681,1.0 whole jalapeno,20.0
682,1.0 whole jalapeno,20.0
683,1.0 whole jicama,659.0
684,1.0 whole jigger dry sherry,45.0
685,10.0 whole kalamata olives,30.0
686,1 pinch kosher salt,0.25
687,nan user-defined kosher salt,0.25
688,1 pinch kosher salt,0.25
689,1.0 pound lasagna pasta,453.0
690,2 sheets lavash bread,126.0
691,1 pint lemon juice,480.0
692,1 teaspoon lemon juice,5.0
693,0.5 teaspoon lemon zest,1.0
694,0.25 tablespoon lemon zest,0.5
695,2.0 whole lemon zest,28.0
696,0.5 teaspoon lemon zest,1.0
697,1.5 tablespoons lemon zest,3.0
698,1.0 tablespoon lemongrass,5.0
699,1.0 whole lime,90.0
700,1.0 whole loaf challah bread,280.0
701,1.0 whole loaf french bread,250.0
702,1 whole loaf white bread,280.0
703,2.0 tablespoons low-fat plain yogurt,61.0
704,32.0 ounces low-fat yogurt,902.0
705,4.0 tablespoons maca powder,36.0
706,2.0 tablespoons melted butter,30.0
707,2 cups meringue frosting,150.0
708,4.0 whole mexican cinnamon,128.0
709,nan user-defined milk,230.0
710,0.5 cup mimolette cheese,58.0
711,3.0 tablespoons mint,5.0
712,1 pound mirepoix,453.0
713,0.5 pound mostaccioli,227.0
714,0.5 cup nicoise olives,75.0
715,0.5 tablespoon non stick cooking spray,7.0
716,0.5 tablespoon non stick cooking spray,7.0
717,0.5 tablespoon non stick cooking spray,7.0
718,1.0 cup nonfat plain yogurt,245.0
719,2.0 pints of blueberries,672.0
720,1 pinch of cayenne pepper,0.25
721,1 pinch of ground cloves,0.25
722,1 pinch of ground nutmeg,0.25
723,2.0 unit of juice lemons,84.0
724,1.0 unit of juice orange,75.0
725,2.0 unit of juice oranges,150.0
726,5.0 unit of juice oranges,375.0
727,1 pinch of salt,0.25
728,1 pinch of salt,0.25
729,1 pinch of salt,0.25
730,1.0 cup olives,155.0
731,1.0 white onion,110.0
732,2.0 whole onion,220.0
733,2.0 whole orange liqueur,150.0
734,0.25 teaspoon orange zest,4.0
735,1.5 tablespoon orange zest,21.0
736,0.5 teaspoon orange zest,7.0
737,2 tablespoons orange zest,28.0
738,1.0 whole orange zest,28.0
739,1.0 whole orange zest,28.0
740,2.0 whole orange zest,56.0
741,5.0 whole orange zest,140.0
742,1.0 whole orange zest,28.0
743,2.0 cups orange-yellow frosting,400.0
744,2.0 whole ounce sea bass fillets,56.0
745,1.0 whole ounce tuaca liqueur,28.0
746,1.0 whole ounce vanilla flavored vodka,28.0
747,8.0 ounces oyster mushrooms,226.0
748,2.0 whole packages active dry yeast,14.0
749,2.0 cups pancake,240.0
750,4.25 slices pancetta,105.0
751,3 slices pancetta,75.0
752,10.5 cups panko,525.0
753,1.0 whole papaya,304.0
754,1.0 cup parmesan,100.0
754,1.0 cup parmigiano reggiano cheese,100.0
755,3.0 tablespoons parmesan,19.0
756,0.333333333333 cup parmesan,33.0
757,0.5 cup parmesan,50.0
758,2 tablespoons parmesan,12.0
