,JSON_ValueString,grams
150,"3.0 whole corn",180
151,"1 whole dough",448
152,"1.0 whole dried bay leaf",1
153,"10.0 whole dried bay leaves",10
154,"0.5 whole dry white wine",85
155,"1.0 whole egg",44
156,"1.0 whole egg",44
157,"1.0 whole egg",44
158,"1.0 whole egg",44
159,"1.0 whole egg",44
160,"1.0 whole egg",44
161,"1.0 whole egg",44
162,"6.0 whole egg whites",180
163,"6.0 whole egg whites",180
164,"2.0 whole egg whites",60
165,"6.0 whole egg whites",180
166,"1.0 whole egg yolk",14
167,"2.0 whole egg yolks",28
168,"9.0 whole egg yolks",126
169,"4.0 whole egg yolks",56
170,"2.0 whole egg yolks",28
171,"5.0 whole eggs",220
172,"5.0 whole eggs",220
173,"3.0 whole eggs",132
174,"2.0 whole eggs",88
175,"6.0 whole eggs",264
176,"2.0 whole eggs",88
177,"11.0 whole eggs",484
178,"2.0 whole eggs",88
179,"2.0 whole eggs",88
180,"3.0 whole eggs",132
181,"3.0 whole eggs",132
182,"6.0 whole eggs",264
183,"2.0 whole eggs",88
184,"2.0 whole eggs",88
185,"2.0 whole eggs",88
186,"2.0 whole eggs",88
187,"6.0 whole eggs",264
188,"2.0 whole eggs",88
189,"4.0 whole eggs",176
190,"3.0 whole eggs",132
191,"4.0 whole eggs",176
192,"3.0 whole eggs",132
193,"4.0 whole endives",212
194,"1.0 whole flank steak",113
195,"6.0 whole fresh basil",6
196,"1.0 whole fresh lotus root",115
197,"3.0 whole fresh quinces",92
198,"20 whole fresh raspberries",250
199,"12.0 whole fresh shiitake mushroom caps",132
200,"3.0 whole fuji apples",161
201,"1.0 whole garlic clove",7
202,"1.0 whole garlic clove",7
203,"2.0 whole garlic cloves",14
204,"2.0 whole garlic cloves",14
205,"2.0 whole garlic cloves",14
206,"5.0 whole garlic cloves",35
207,"5.0 whole garlic cloves",35
208,"3.0 whole garlic cloves",21
209,"6.0 whole garlic cloves",42
210,"10.0 whole garlic cloves",70
211,"0.5 whole green bell pepper",60
212,"1.0 whole green bell pepper",120
213,"1.0 whole green bell pepper",120
214,"0.5 whole green bell pepper",60
215,"1.0 whole green bell pepper",120
216,"1.0 whole green bell pepper",120
217,"4.0 whole green onions",20
218,"4.0 whole green onions",20
219,"1.0 whole green papaya",304
220,"1.0 whole green tomato",150
221,"4.25 whole green tomatoes",600
222,"1.0 whole gummy fish",39
223,"2.0 whole hanger steaks",226
224,"6.0 whole hard boiled eggs",264
225,"0.5 whole hass avocado",75
226,"0.5 whole head fennel",90
227,"1.0 whole head garlic",80
228,"1.0 whole head of romaine lettuce",626
229,"1.0 whole head red leaf lettuce",626
230,"4.0 whole hoagie buns",100
231,"1.0 whole hot pepper optional",42
232,"0.5 whole iceberg lettuce",626
233,"1.0 whole italian parsley",60
234,"0.5 whole jalapeno",42
235,"2.0 whole japanese eggplants",400
236,"1.0 whole jar bamboo shoots",114
237,"1.0 whole jar water chestnuts",114
238,"10.0 whole jelly beans",290
239,"12.0 whole juniper berries",20
240,"0.25 whole kabocha squash",300
241,"2.0 whole kale",200
242,"2.0 whole kirby cucumbers",200
243,"1.0 whole kiwi",69
244,"1.0 whole leek",200
245,"1 whole leek",200
246,"1.0 whole leek",200
247,"1.0 whole lemon",108
248,"1.0 whole lemon",108
249,"0.5 whole lemon",54
250,"0.5 whole lemon juiced",21
251,"1.0 whole lemon juiced",42
252,"1.0 whole lemon zest",14
253,"1.0 whole lemon zest",14
254,"1.0 whole lemon zest",14
255,"1.0 whole lemon zest",14
256,"1.0 whole lemon zest",14
257,"1.0 whole lemon zest",14
258,"0.5 whole lemon zest",14
260,"2.0 whole lemons",216
261,"3.0 whole lemons",324
262,"1.0 whole lime juiced",28
263,"1.0 whole lime wedge",12
264,"2.0 whole limes",180
265,"1.0 whole link of spanish chorizo coarsely",30
266,"1.0 whole little onion",75
267,"12.0 whole littleneck clams",95
268,"1.0 whole loaf rustic bread",397
269,"4.0 whole loaves italian bread",397
270,"4.0 whole macintosh apple",161
271,"1.0 whole mango",207
272,"0.5 whole meyer lemon",54
273,"3.0 whole meyer lemons",324
274,"1.0 whole mint patty",14
275,"3.0 whole mushrooms",212
276,"30 whole necco wafers",14
277,"5.0 whole nicoise olives",25
278,"1.0 whole onion",110
279,"1.0 whole onion",110
280,"0.5 whole onion",55
281,"0.5 whole onion",55
282,"1.0 whole onion",110
283,"1.0 whole onion",110
284,"1.0 whole onion",110
285,"0.5 whole onion",55
286,"1.0 whole onion",110
287,"1.0 whole onion",110
288,"1.0 whole onion",110
289,"1.0 whole onion",110
290,"1.5 whole onion",165
291,"2.0 whole onions",220
292,"2.0 whole onions",220
293,"1.0 whole orange",110
294,"1.0 whole orange juiced",75
295,"2.0 whole oranges juiced",150
296,"1.0 whole packet dried onion soup mix",40
297,"2.0 whole parsnips",320
298,"6.0 whole peaches",900
299,"2.0 whole pears",240
300,"1 whole pie crust",154
301,"1.0 whole piece ginger",28
302,"1.0 whole pimiento",20
303,"6.0 whole pita bread",360
304,"5 whole pita bread",300
305,"1.0 whole pkg martha white chocolate chip muffin mix",207
306,"4.0 whole poblano chiles",24
307,"6.0 whole poblanos",36
308,"4.0 whole pork loin chops",450
309,"3.0 whole potatoes",450
310,"12.0 whole potsticker skins",96
311,"8.0 whole radishes",160
312,"1.25 whole red bell pepper",150
313,"1.0 whole red bell pepper",120
314,"0.5 whole red bell pepper",50
315,"1.0 whole red bell pepper",120
316,"0.5 whole red cabbage",420
317,"0.25 whole red onion",27
318,"1.0 whole red onion",110
319,"1.0 whole red onion",110
320,"0.5 whole red onion",55
321,"1.0 whole red onion",110
322,"1.0 whole red onion",110
323,"0.5 whole red pepper",60
324,"1.0 whole roma tomato",100
325,"2.0 whole roma tomatoes",200
326,"4.0 whole roma tomatoes",400
327,"1.0 whole romaine lettuce",626
328,"0.5 whole romaine lettuce",318
329,"0.25 whole romaine lettuce",159
330,"2.0 whole salmon steaks",113
331,"1.0 whole scallion",25
332,"2.0 whole scallions",50
333,"4.0 whole scallions",100
334,"1.0 whole scallions",25
335,"4.0 whole scallions",100
336,"2.0 whole scallions",50
337,"3.0 whole scallions",150
338,"4.0 whole scallions",200
339,"3.0 whole scallions",150
340,"1.0 whole serrano chile",7
341,"1.0 whole shallot",42
342,"1.0 whole shallot",42
343,"1 whole shallot",42
344,"1.0 whole shallot",42
345,"1.0 whole shallot",42
346,"1.0 whole shallot optional",42
347,"4.0 whole shallots",168
348,"2.0 whole shallots",84
349,"2.0 whole shallots",84
350,"4.0 whole shallots",168
351,"2.0 whole shallots",84
352,"5.0 whole sheets phyllo dough",95
353,"2.0 whole sheets puff pastry",490
354,"1.25 whole skinless chicken breast",200
355,"4.0 whole skinless dover",448
356,"4.0 whole soft hoagie buns lightly toasted",400
357,"2.0 whole spanish onions",220
358,"12.0 whole spears asparagus",120
359,"2.0 whole star anise",1
360,"1.0 whole sweet potato",114
361,"1.0 whole thai chile",6
362,"36 whole threads saffron",0.1
363,"1.0 whole thyme",3
364,"15.0 whole tiare flowers",30
365,"3.0 whole to green tomatoes",450
366,"2.0 whole tomatillos",42
367,"1.0 whole tomato",150
368,"1 whole tomato",150
369,"1.0 whole tomato",150
370,"2.0 whole tomatoes",300
371,"2.0 whole tomatoes",300
372,"2.0 whole tomatoes",300
373,"4.0 whole tomatoes",600
374,"24 whole tortilla chips",80
375,"0.5 whole vanilla bean",2.5
376,"0.5 whole vanilla bean",2.5
377,"1.0 whole vanilla bean",5
378,"1.0 whole venison tenderloin",113
379,"0.5 whole white onion",55
380,"1.0 whole white onion",110
381,"1.0 whole white onion",110
382,"1.0 whole whole boneless chicken breast with skin",172
383,"4.0 whole whole brandied apricots",160
384,"4.0 whole whole-grain wrap",180
385,"40.0 whole wonton wrappers",320
386,"24.0 whole wonton wrappers",192
387,"1.0 whole yellow bell pepper",120
388,"1.0 whole yellow onion",110
389,"1.0 whole yellow twisted licorice",40
390,"4.0 whole zucchini",720
391,"0.5 whole zucchini",90
392,"1.0 whole zucchini",180
393,"1.5 cups panko bread crumbs",162
394,"1 tablespoon parmesan cheese",5
395,"8.0 slices fresh mozzarella",181.437
396,"1.0 tablespoon anchovy paste",4
397,"1 whole all-butter pastry dough",175
398,"3.0 whole allspice berries",2
399,"4.0 tablespoons almond butter",56
400,"1.0 teaspoon amaretto",5
401,"3.0 ounces american cheese",84
402,"0.5 cup ancho chile paste",160
403,"5 dried ancho chiles",70
404,"12 ounce artichokes",340
405,"8.0 whole artichokes",1200
406,"0.25 cup arugala",5
407,"4.0 cups arugula",84
408,"0.25 pound arugula",113
409,"0.5 whole avocado",75
410,"4.0 whole avocadoes",600
411,"6.0 cups baby arugula",126
412,"1.0 cup baby arugula",21
413,"0.333333333333 pound baby arugula",150
414,"1.0 cup baby carrots",50
415,"1.0 cup bacon",225
416,"1.0 whole bag fresh salad mix",680
417,"0.5 whole bag frozen vegetable stir fry mix",284
418,"4.0 whole balls of fresh mozzarella di bufala",40
419,"4.0 whole bananas",480
420,"4.0 whole bananas",480
421,"2.0 whole bananas",240
422,"1.0 whole barlett pear",110
423,"6.0 whole basil leaves",6
424,"4.0 whole bay leaves",4
425,"1.0 cup bbq chips",34
426,"2.0 quarts beef stock",1920
427,"3 whole beets",166
428,"1.0 green bell pepper",120
429,"1.0 whole bell pepper",120
430,"2.0 cans black beans",800
431,"2.0 cans black beans",800
432,"1.5 cups black olives",230
433,"1.0 cup black olives",155
434,"12.0 whole black tea bags",216
435,"4.0 whole black teabags",72
436,"1.0 whole block ice",3
437,"2.0 teaspoons blue caracao",10
438,"0.25 cup blue cheese",29
439,"2 cups blue cheese",230
440,"6.0 cups blue frosting",100
441,"1 pound boneless beef rib eye steak",453
442,"4.0 whole boneless chicken breast with no skin",600
443,"8.0 whole boneless skinless chicken breast halves",1200
444,"2.0 tablespoons bourbon",30
445,"2.0 tablespoons bourbon",30
446,"2.0 tablespoons brandy",30
447,"2.0 tablespoons brandy",30
448,"1.0 tablespoon brandy",15
449,"1.0 tablespoon brandy",15
450,"3.0 cups bread",105
451,"12 ounce bread cheese",340
452,"2.0 tablespoons breadcrumbs",9
453,"1 cup breadcrumbs",35
454,"12.0 slices brioche",600
455,"1.0 whole broccoli",608
456,"1 cup brownies",240
457,"1.0 whole bunch dill",42
458,"1.0 whole bunch fresh basil",50
459,"1.0 whole bunch mint",50
460,"1.0 whole bunch scallions",200
461,"1 pound bunuelo dough",453
462,"3.0 tablespoons butter",42
463,"4.0 tablespoons butter",56
464,"4.0 tablespoons butter",56
465,"1.0 tablespoon butter",14
466,"4.0 tablespoon butter",56
467,"1.0 tablespoon butter",14
468,"3.0 tablespoons butter",42
469,"1.0 tablespoon butter",14
470,"2.0 tablespoons butter",28
471,"2.0 tablespoons butter",28
472,"3.0 tablespoons butter",42
473,"4.0 tablespoons butter",56
474,"1.0 tablespoon butter",14
475,"4.0 tablespoons butter",56
476,"1.0 tablespoon butter",14
477,"3.0 tablespoons butter",42
478,"4.0 tablespoon butter",56
479,"0.5 cup butter",113
480,"1 tablespoon butter",14
481,"0.5 stick butter",56
482,"2.0 tablespoons butter",28
483,"2.0 tablespoons butter",28
484,"1 tablespoon butter",14
485,"2.0 tbs. butter",28
486,"1.0 stick butter",113
487,"2.0 tablespoons butter",28
488,"2.0 tablespoons butter",28
489,"4.0 ounces butter",56
490,"1.0 tablespoon butter",14
491,"3.0 tablespoons butter",42
492,"2 tablespoon butter",28
493,"2.0 tablespoons butter",28
494,"2.0 tablespoons butter",28
495,"0.25 cup butter",56
496,"3.5 pound cake",1587.5
497,"0.5 pound cake crumbs",227
498,"2.0 tablespoons calvados",28
499,"10 ounce canned artichoke hearts",280
500,"14.0 ounces canned artichoke hearts",400
501,"0.5 whole canned chipotle",110
502,"0.5 whole canned chipotle",110
503,"0.5 tablespoon canned chipotle chiles in adobo",8
504,"2.0 teaspoons canned chipotle chilies",10
505,"1 whole caramel dessert sauce",28
506,"1.0 whole carrot",120
507,"1.0 whole carrot shredded",120
508,"2.0 whole carrots",240
509,"2.0 whole carrots",240
510,"4.0 whole carrots",480
511,"2.0 whole carrots",240
512,"2.0 whole carrots",240
513,"2.0 whole carrots",240
514,"2.0 whole carrots",240
515,"2.0 whole carrots",240
516,"2.0 stalks celery",100
517,"2.0 ribs celery",17
518,"4.0 ribs celery",34
519,"2.0 stalks celery",100
520,"3.0 stalks celery",150
521,"2 ounces cheddar cheese",56
522,"1.0 pint cherry",350
523,"12.0 whole cherry tomatoes",120
524,"1.0 tablespoon chia seeds",14
525,"6.0 pounded chicken breast",2721.5
526,"3.0 cups chicken breast",420
527,"4.0 whole chicken breast no skin",600
528,"4 whole chicken legs",176
529,"1.0 gallon chicken stock",3840
530,"24.0 whole chicken wings",504
531,"0.5 teaspoon chile de arbol",3
532,"0.666666666667 cup chinese barbecued pork",180
533,"1.0 tablespoon chipotle peppers",15
534,"1.0 whole chives",9
535,"12 oz chocolate",340
536,"8.0 ounces chocolate",226
537,"0.5 cup chocolate",110
538,"0.25 cup chocolate",55
539,"1.0 cup chocolate chips",220
540,"0.333333333333 cup chocolate chips",74
541,"1.0 whole chunk parmigiano reggiano",220
542,"3.0 stick cinnamon",96
543,"1 whole cinnamon stick",32
544,"4.0 tablespoons clarified butter",60
545,"2 tablespoon clarified butter",30
546,"6.0 whole cloves",1.5
547,"6 whole cloves garlic",42
548,"4.0 whole cloves of garlic",28
549,"2.0 quarts club soda",1920
550,"1.0 teaspoon coffee liqueur",15
551,"1.0 tablespoon coffee-flavored liqueur",15
552,"1.0 whole container nutella",400
553,"1 cup cookies",120
554,"6.0 whole corn",360
555,"1.0 whole corn",60
556,"0.5 cups cornichons",80
557,"2.0 slices country loaf bread",100
558,"1.0 quart cream",800
559,"1 cups croutons",32
560,"1.0 whole cucumber",300
561,"0.333333333333 whole cup cocoa powder",42
562,"0.5 whole cup egg whites",120
563,"0.5 whole cup sugar",100
564,"1 cup dark 70 percent cocoa chocolate",220
565,"1.0 cup dark chocolate",220
566,"7.0 tablespoons dark rum",105
567,"1.0 tablespoon dark rum",105
568,"1.0 cup dates",175
569,"0.5 pound deli-sliced roast beef",227
570,"12.0 whole dried apricot",80
571,"0.5 cup dried bonito shavings",6
572,"0.25 cup dried dates",44
573,"1.0 whole dried kombu",30
574,"0.25 cup dried mushrooms",18
575,"1.0 ounce dried porcini mushrooms",28.25
576,"1.0 teaspoon dried red pepper flakes",5
577,"1 pinch dried red-pepper flakes",0.25
578,"2.0 teaspoons dry sherry",30
579,"4.0 tablespoons dry sherry",60
580,"1.0 tablespoon dry white wine",15
581,"2.0 tablespoons dry white wine",30
582,"2.0 tablespoons dry white wine",30
583,"1.75 whole duck breast",280
584,"30.0 whole dumpling wrappers",240
585,"4.5 teaspoons earl grey tea leaves",3
586,"3.0 whole ears of corn",189
587,"1.0 whole egg beaten",44
588,"1.0 whole egg white",30
589,"1.0 whole egg white",30
590,"4.0 whole egg whites",120
591,"4.0 whole egg whites",120
592,"3.0 whole egg whites",90
593,"4.0 whole egg whites",120
594,"4.0 whole egg whites",120
595,"3.0 whole egg yolks",42
596,"3.0 whole egg yolks",42
597,"3.0 whole egg yolks",42
598,"6.0 whole egg yolks",84
599,"2.0 whole eggplants",1080
600,"8.0 whole eggs",352
601,"8.0 whole eggs",352
602,"7.0 whole eight inch corn tortillas",280
603,"2.0 whole english cucumbers",400
604,"nan user-defined evoo for liberal drizzling",15
605,"nan user-defined extra-virgin olive oil",15
606,"1.0 tablespoon fat-free plain greek yogurt",31
607,"1.0 whole fennel bulb",234
608,"12.5 whole fingerling potatoes",625
609,"12.0 whole flour",1440
610,"0.5 whole french baguette cubed",125
611,"0.5 whole french bread",125
612,"2.0 whole fresh bananas frozen",480
613,"2.0 teaspoons fresh basil",1
614,"3.0 tablespoons fresh basil",6
615,"2.0 handfuls fresh basil",25
616,"1.0 tablespoon fresh basil",2
617,"0.25 cup fresh basil leaves",8
618,"3.0 whole fresh bay leaves",3
619,"1.0 cup fresh bread",35
620,"0.5 cup fresh bread crumbs",18
621,"1.0 teaspoon fresh dill",0.5
622,"2.0 tablespoons fresh dill",3
623,"0.25 cup fresh dill",6
624,"2.0 tablespoons fresh dill",3
625,"0.25 cup fresh dill",6
626,"1.0 tablespoon fresh dill",1.5
627,"2.0 teaspoons fresh mint",1
628,"2.0 tablespoons fresh mint",2.4
629,"0.5 cup fresh mint leaves",10
630,"0.666666666667 cup fresh parmesan",66
631,"4.0 sprigs fresh rosemary",4
632,"1.0 whole fresh rosemary",5
633,"8.0 whole fresh sage",14
634,"0.5 pt. fresh strawberries",170
635,"3.0 sprigs fresh thyme",3
636,"1.0 whole fresh thyme",3
637,"1.0 whole fresh thyme",3
638,"1.5 cups fromage blanc",345
639,"2.0 cups fromage blanc",460
640,"5 teaspoons frozen pineapple-orange juice concentrate",28
641,"11 oz frozen ripe plantains",308
642,"16 ounce frozen sweet white corn",450
643,"4.0 whole garlic cloves",28
644,"4.0 whole garlic cloves",28
645,"2.0 teaspoons gherkins",10
646,"2 slices ginger",28
647,"0.5 cup glass noodles",80
648,"1.0 cup goat cheese",115
649,"150.0 grams goat cheese",150
650,"2.0 whole golden delicious apples",120
651,"12 whole graham cracker",180
652,"4.0 whole granny smith apples",240
653,"30.0 whole grape leaves",120
654,"4.0 pints grape tomatoes",1200
655,"7.0 ounces greek yogurt",200
656,"1.0 whole green onion",5
657,"10.0 whole green onions",50
658,"1.0 whole green pepper",42
659,"1.0 quart green tea",960
660,"1 pinch ground cinnamon",0.25
661,"1.0 pinch ground cinnamon",0.25
662,"0.75 cup ground graham crackers",64
663,"3.0 tablespoons ground instant tapioca",24
664,"nan user-defined ground thyme",10
665,"0.75 cup gruyere",75
666,"1.0 cup gruyere",100
667,"1.0 cup ham",150
668,"1.0 whole hamburger bun",42
669,"4.0 whole hard boiled eggs",176
670,"1.0 whole head cauliflower",840
671,"2.0 whole heads endive",170
672,"2.0 whole heads garlic",80
673,"1.0 whole heirloom tomato",212
674,"7.0 tablespoons hot water",105
675,"1 cup ice cream",200
676,"4.0 tablespoons ice water",60
677,"2.0 ounce instant chocolate pudding mix",56
678,"0.5 cup italian bread crumbs",18
679,"2.0 tablespoons italian grappa",30
680,"1.0 pound italian sausage",453
681,"1.0 whole jalapeno",20
682,"1.0 whole jalapeno",20
683,"1.0 whole jicama",659
684,"1.0 whole jigger dry sherry",45
685,"10.0 whole kalamata olives",30
686,"1 pinch kosher salt",0.25
687,"nan user-defined kosher salt",0.25
688,"1 pinch kosher salt",0.25
689,"1.0 pound lasagna pasta",453
690,"2 sheets lavash bread",126
691,"1 pint lemon juice",480
692,"1 teaspoon lemon juice",5
693,"0.5 teaspoon lemon zest",1
694,"0.25 tablespoon lemon zest",0.5
695,"2.0 whole lemon zest",28
696,"0.5 teaspoon lemon zest",1
697,"1.5 tablespoons lemon zest",3
698,"1.0 tablespoon lemongrass",5
699,"1.0 whole lime",90
700,"1.0 whole loaf challah bread",280
701,"1.0 whole loaf french bread",250
702,"1 whole loaf white bread",280
703,"2.0 tablespoons low-fat plain yogurt",61
704,"32.0 ounces low-fat yogurt",902
705,"4.0 tablespoons maca powder",36
706,"2.0 tablespoons melted butter",30
707,"2 cups meringue frosting",150
708,"4.0 whole mexican cinnamon",128
709,"nan user-defined milk",230
710,"0.5 cup mimolette cheese",58
711,"3.0 tablespoons mint",5
712,"1 pound mirepoix",453
713,"0.5 pound mostaccioli",227
714,"0.5 cup nicoise olives",75
715,"0.5 tablespoon non stick cooking spray",7
716,"0.5 tablespoon non stick cooking spray",7
717,"0.5 tablespoon non stick cooking spray",7
718,"1.0 cup nonfat plain yogurt",245
719,"2.0 pints of blueberries",672
720,"1 pinch of cayenne pepper",0.25
721,"1 pinch of ground cloves",0.25
722,"1 pinch of ground nutmeg",0.25
723,"2.0 unit of juice lemons",84
724,"1.0 unit of juice orange",75
725,"2.0 unit of juice oranges",150
726,"5.0 unit of juice oranges",375
727,"1 pinch of salt",0.25
728,"1 pinch of salt",0.25
729,"1 pinch of salt",0.25
730,"1.0 cup olives",155
731,"1.0 white onion",110
732,"2.0 whole onion",220
733,"2.0 whole orange liqueur",150
734,"0.25 teaspoon orange zest",4
735,"1.5 tablespoon orange zest",21
736,"0.5 teaspoon orange zest",7
737,"2 tablespoons orange zest",28
738,"1.0 whole orange zest",28
739,"1.0 whole orange zest",28
740,"2.0 whole orange zest",56
741,"5.0 whole orange zest",140
742,"1.0 whole orange zest",28
743,"2.0 cups orange-yellow frosting",400
744,"2.0 whole ounce sea bass fillets",56
745,"1.0 whole ounce tuaca liqueur",28
746,"1.0 whole ounce vanilla flavored vodka",28
747,"8.0 ounces oyster mushrooms",226
748,"2.0 whole packages active dry yeast",14
749,"2.0 cups pancake",240
750,"4.25 slices pancetta",105
751,"3 slices pancetta",75
752,"10.5 cups panko",525
753,"1.0 whole papaya",304
754,"1.0 cup parmesan",100
755,"3.0 tablespoons parmesan",19
756,"0.333333333333 cup parmesan",33
757,"0.5 cup parmesan",50
758,"2 tablespoons parmesan",12
759,"1.5 cups parmesan",150
760,"1.0 cup parmesan",100
761,"0.5 cup parmesan",50
762,"1.0 cup parmesan",100
763,"0.25 cup parmesan",25
764,"4 tablespoon parmesan",25
765,"0.333333333333 cup parmesan",33
766,"1.0 cup parmesan",100
767,"0.25 cup parmesan cheese",25
768,"0.75 cup parmesan cheese",75
769,"0.25 cup parmesan cheese",25
770,"0.75 cup parmesan cheese",75
771,"0.666666666667 cup parmesan cheese",66
772,"0.5 cup parmesan cheese",50
773,"0.5 cup parmigiano-reggiano",50
774,"0.5 cup parmigiano-reggiano",50
775,"6.0 whole parsnips",960
776,"6.0 whole parsnips",960
777,"6.0 whole parsnips",960
778,"6.0 whole parsnips",960
779,"1.0 cup part-skim mozzarella cheese",113
780,"0.25 cup peanuts",30
781,"12.0 whole pearl onions",180
782,"14.0 whole pears",1540
783,"2.0 cups pecorino cheese",200
784,"35.0 whole peperoncini",35
785,"12.0 whole peppercorns",10
786,"2.5 tablespoons pernod",38
787,"1 cup pickles",153
788,"1 whole pie dough",175
789,"4.0 whole pieces hake",720
790,"2.0 whole pieces stale white bread crust",100
791,"1.0 whole pink grapefruit",246
792,"1.0 whole pita bread",60
793,"6.0 whole pita bread",360
794,"12.0 ounces pitted dates",339
795,"12.0 whole pitted dried plums",110
796,"0.5 cup pitted nicoise olives",75
797,"1 whole pizza crust dough",175
798,"1.0 pound pizza dough",453
